"SurveyResponseID","AnswerNumber","AnswerYN","AmenityType"
3466523,170,"Yes","Accommodation"
3466523,172,"Yes","Activities"
3466657,175,"Yes","Activities"
3466307,177,"Yes","Accommodation"
3466539,139,"No","All"
3471051,181,"No","All"
3466523,171,"Yes","Transport"
3470951,152,"Yes","Accommodation"
3466304,194,"Yes","Transport"
3471185,160,"Yes","Accommodation"
3470951,153,"Yes","Activities"
3471168,204,"Yes","Activities"
3471185,161,"Yes","Transport"
3471402,199,"Yes","Transport"
3466307,178,"Yes","Transport"
3471402,198,"Yes","Accommodation"
3471336,139,"Yes","Accommodation"
3471419,173,"Yes","Accommodation"
3471402,200,"Yes","Activities"
3471655,163,"Yes","Activities"
3471454,180,"Yes","Activities"
3471455,141,"Yes","Activities"
3471419,174,"Yes","Transport"
3471839,151,"Yes","Transport"
3471285,230,"Yes","Activities"
3471839,152,"Yes","Activities"
3471655,162,"Yes","Transport"
3471787,143,"Yes","Accommodation"
3471887,129,"Yes","Accommodation"
3471655,161,"Yes","Accommodation"
3471219,184,"No","All"
3472039,216,"Yes","Activities"
3472039,214,"Yes","Accommodation"
3472039,215,"Yes","Transport"
3472524,141,"Yes","Accommodation"
3472471,140,"Yes","Accommodation"
3472521,140,"Yes","Accommodation"
3471836,155,"No","All"
3472471,141,"Yes","Activities"
3471471,138,"Yes","Activities"
3496022,170,"Yes","Activities"
3471887,130,"Yes","Activities"
3495986,146,"Yes","Activities"
3495986,144,"Yes","Accommodation"
3496022,169,"Yes","Accommodation"
3472657,147,"Yes","Activities"
3496924,129,"No","All"
3496624,124,"Yes","Accommodation"
3496823,144,"Yes","Accommodation"
3496888,152,"Yes","Accommodation"
3495986,145,"Yes","Transport"
3497106,129,"Yes","Accommodation"
3497225,128,"Yes","Accommodation"
3497257,154,"Yes","Accommodation"
3497606,155,"Yes","Accommodation"
3497590,156,"Yes","Accommodation"
3496889,151,"Yes","Activities"
3497224,138,"Yes","Activities"
3496838,150,"Yes","Activities"
3497172,140,"Yes","Activities"
3497707,136,"Yes","Accommodation"
3497709,139,"Yes","Accommodation"
3497610,143,"Yes","Accommodation"
3497723,151,"Yes","Accommodation"
3497726,145,"Yes","Accommodation"
3497777,128,"Yes","Activities"
3502506,173,"No","All"
3496774,147,"No","All"
3502436,173,"Yes","Activities"
3497723,152,"Yes","Transport"
3497760,131,"Yes","Accommodation"
3497707,137,"Yes","Activities"
3502538,130,"Yes","Activities"
3502436,172,"Yes","Accommodation"
3502522,133,"Yes","Accommodation"
3503307,166,"Yes","Activities"
3503341,169,"Yes","Activities"
3497609,148,"Yes","Transport"
3503341,167,"Yes","Accommodation"
3503307,165,"Yes","Accommodation"
3503322,138,"Yes","Accommodation"
3497777,127,"Yes","Transport"
3503673,186,"Yes","Transport"
3503673,185,"Yes","Accommodation"
3523010,184,"Yes","Accommodation"
3503341,168,"Yes","Transport"
3523697,177,"Yes","Accommodation"
3503424,142,"Yes","Activities"
3523697,179,"Yes","Activities"
3503290,160,"No","All"
3523194,144,"No","All"
3524784,157,"Yes","Accommodation"
3524817,173,"Yes","Accommodation"
3523863,179,"Yes","Accommodation"
3503673,187,"Yes","Activities"
3523863,180,"Yes","Activities"
3523010,185,"Yes","Activities"
3524784,159,"Yes","Activities"
3338529,143,"Yes","Accommodation"
3524784,158,"Yes","Transport"
3338550,143,"Yes","Transport"
3338446,128,"Yes","Accommodation"
3338550,142,"Yes","Accommodation"
3338961,164,"Yes","Accommodation"
3461404,139,"Yes","Accommodation"
3461447,144,"Yes","Accommodation"
3461429,143,"Yes","Accommodation"
3461463,143,"Yes","Accommodation"
3338550,144,"Yes","Activities"
3338446,129,"Yes","Activities"
3338529,144,"Yes","Transport"
3338950,155,"Yes","Accommodation"
3461538,129,"Yes","Accommodation"
3461545,161,"Yes","Accommodation"
3523697,178,"Yes","Transport"
3461531,158,"Yes","Accommodation"
3461613,142,"Yes","Accommodation"
3461451,152,"Yes","Accommodation"
3461397,185,"No","All"
3461772,124,"No","All"
3461483,143,"Yes","Transport"
3461485,146,"Yes","Transport"
3461697,131,"Yes","Accommodation"
3461486,163,"Yes","Accommodation"
3461731,151,"Yes","Accommodation"
3338529,145,"Yes","Activities"
3462340,150,"Yes","Activities"
3338516,159,"Yes","Activities"
3461879,154,"Yes","Activities"
3461740,152,"Yes","Transport"
3462340,149,"Yes","Accommodation"
3461847,162,"Yes","Accommodation"
3461616,146,"Yes","Accommodation"
3461881,148,"Yes","Accommodation"
3461888,145,"Yes","Accommodation"
3461881,149,"Yes","Transport"
3461635,170,"Yes","Accommodation"
3461652,140,"Yes","Accommodation"
3462935,160,"Yes","Accommodation"
3462919,152,"Yes","Accommodation"
3462951,210,"Yes","Accommodation"
3461616,147,"Yes","Activities"
3461718,137,"Yes","Activities"
3462283,195,"Yes","Activities"
3462919,153,"Yes","Activities"
3462944,194,"No","All"
3462976,191,"Yes","Activities"
3339168,151,"Yes","Activities"
3463051,183,"No","All"
3462951,211,"Yes","Activities"
3461869,143,"Yes","Activities"
3462976,190,"Yes","Transport"
3461851,137,"Yes","Accommodation"
3461868,140,"Yes","Accommodation"
3461900,134,"Yes","Accommodation"
3461652,141,"Yes","Transport"
3462976,189,"Yes","Accommodation"
3463083,116,"Yes","Accommodation"
3462368,192,"No","All"
3463344,172,"Yes","Activities"
3462808,189,"No","All"
3463228,192,"Yes","Activities"
3462402,166,"Yes","Accommodation"
3463344,171,"Yes","Accommodation"
3462487,178,"Yes","Accommodation"
3463487,168,"Yes","Accommodation"
3463101,152,"Yes","Accommodation"
3462639,194,"Yes","Accommodation"
3462639,195,"Yes","Transport"
3338469,143,"Yes","Accommodation"
3462756,148,"Yes","Accommodation"
3462756,149,"Yes","Transport"
3462870,156,"Yes","Accommodation"
3463803,140,"Yes","Accommodation"
3462756,150,"Yes","Activities"
3462887,168,"Yes","Activities"
3462402,167,"Yes","Transport"
3462803,161,"Yes","Transport"
3463785,133,"Yes","Accommodation"
3462803,160,"Yes","Accommodation"
3463487,169,"Yes","Activities"
3463651,131,"Yes","Activities"
3461464,137,"Yes","Accommodation"
3461423,144,"Yes","Accommodation"
3462956,151,"Yes","Accommodation"
3462639,196,"Yes","Activities"
3461396,174,"Yes","Activities"
3338917,137,"Yes","Transport"
3461514,146,"Yes","Accommodation"
3338483,124,"Yes","Activities"
