"SurveyResponseID","AnswerNumber","WebsiteForPlanning","WebsiteForBooking","UsefulnessRating"
3185010,113,"Friends, family and colleagues",NA,"8"
3185010,114,"Travel guides/books about New Zealand",NA,"Very Useful10"
3185025,120,"Travel guides/books about New Zealand",NA,"7"
3185025,117,"www.lonleyplanet.com",NA,"8"
3185025,117,"www.lonleyplanet.com",NA,"7"
3185025,116,"www.tripadvisor.com",NA,"7"
3185025,115,"Airline websites","Airline websites","8"
3185025,115,"Airline websites","Airline websites","7"
3185025,118,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"6"
3185025,118,"Weibu",NA,"6"
3185025,119,"Online travel blogs",NA,"Very Useful10"
3185025,119,"Online travel blogs",NA,"Very Useful10"
3185025,115,"Friends, family and colleagues",NA,"8"
3184615,125,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"9"
3184615,124,"By phoning airlines",NA,"7"
3184615,126,"Travel guides/books about New Zealand",NA,"6"
3184615,126,"Travel guides/books about New Zealand",NA,"7"
3185042,125,"Travel agents in your home country in person",NA,"Very Useful10"
3184615,124,"Friends, family and colleagues",NA,"7"
3185042,126,"Online travel blogs",NA,"Not Sure"
3185042,125,"www.lonleyplanet.com",NA,"Very Useful10"
3185042,127,"Travel guides/books about New Zealand",NA,"9"
3185042,127,"Travel guides/books about New Zealand",NA,"8"
3185043,138,"None of these",NA,"None of these"
3184616,117,"www.wotif.com","www.wotif.com","9"
3185044,121,"None of these",NA,"None of these"
3184618,126,"www.lonleyplanet.com",NA,"7"
3184618,125,"Airline websites",NA,"8"
3185045,109,"Travel guides/books about New Zealand",NA,"8"
3184618,125,"Friends, family and colleagues",NA,"8"
3185045,109,"Travel guides/books about New Zealand",NA,"9"
3184618,128,"Another source",NA,"Another source"
3185045,107,"www.lonleyplanet.com",NA,"9"
3185045,107,"www.wotif.com",NA,"9"
3185045,108,"Another specific New Zealand website, including attraction, transport or accommodation sites","Another specific New Zealand website, including attraction, transport or accommodation sites","7"
3184619,132,"www.lonleyplanet.com",NA,""
3185045,105,"Airline websites","Airline websites","7"
3185045,106,"Travel agents in your home country in person",NA,"Very Useful10"
3184632,103,"www.newzealand.com",NA,"7"
3184632,104,"Websites of individual i-SITE centres",NA,"4"
3184632,104,"Websites of individual i-SITE centres",NA,"9"
3184632,103,"Friends, family and colleagues",NA,"7"
3184634,118,"None of these",NA,"None of these"
3185059,132,"Travel agents in your home country in person","Travel agents in your home country in person",""
3185059,131,"Airline websites",NA,"7"
3185059,133,"www.newzealand.com",NA,"Very Useful10"
3185059,133,"www.newzealand.com",NA,"5"
3184649,127,"www.newzealand.com",NA,"8"
3185060,108,"www.newzealand.com",NA,"7"
3184651,120,"www.lonleyplanet.com",NA,"7"
3185060,106,"Airline websites",NA,"9"
3184651,118,"Travel agents in your home country over the phone",NA,"7"
3185060,107,"www.lonleyplanet.com",NA,"8"
3185060,107,"www.lonleyplanet.com",NA,"Very Useful10"
3184651,117,"Airline websites","Airline websites","7"
3185060,106,"www.tripadvisor.com",NA,"9"
3184651,117,"Airline websites","Airline websites","Very Useful10"
3185060,105,"Friends, family and colleagues",NA,"Very Useful10"
3184651,117,"Friends, family and colleagues",NA,"Very Useful10"
3184651,119,"Travel agents in your home country via the internet",NA,"8"
3184651,119,"Travel agents in your home country via the internet",NA,"Very Useful10"
3184606,127,"www.newzealand.com",NA,"6"
3185061,107,"Another source",NA,"Very Useful10"
3184606,127,"www.newzealand.com",NA,"7"
3184652,122,"Airline websites",NA,"8"
3185061,106,"www.tripadvisor.com",NA,"6"
3185061,107,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3184606,126,"www.tripadvisor.com",NA,""
3184652,123,"Online travel blogs",NA,"Very Useful10"
3184606,128,"An i-SITE consultant or staff member by email or phone",NA,"9"
3184606,125,"Friends, family and colleagues",NA,"7"
3184606,128,"Websites of individual i-SITE centres",NA,"9"
3185075,113,"www.newzealand.com",NA,"7"
3185075,112,"Friends, family and colleagues",NA,"9"
3184666,116,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"7"
3184666,115,"www.tripadvisor.com",NA,"Very Useful10"
3184611,111,"Travel agents in your home country in person",NA,"Very Useful10"
3184666,114,"Travel agents in your home country via the internet",NA,"Very Useful10"
3184611,112,"Another source",NA,"Another source"
3184666,117,"Travel guides/books about New Zealand",NA,"9"
3185076,125,"Websites of individual i-SITE centres",NA,"8"
3185076,124,"www.newzealand.com",NA,"9"
3185076,124,"www.newzealand.com",NA,"8"
3185076,125,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
3184620,121,"Travel agents in your home country in person",NA,"9"
3184667,113,"Facebook",NA,"7"
3184667,113,"Facebook",NA,"7"
3185076,121,"Airline websites",NA,"8"
3184620,121,"Airline websites",NA,"9"
3184667,111,"Airline websites","Airline websites","5"
3184620,122,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"Very Useful10"
3184620,122,"Another specific New Zealand website, including attraction, transport or accommodation sites",NA,"8"
