"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3184760,124,"Facebook","Planning trip to NZ"
3184813,135,"None of these","After trip to NZ"
3184760,125,"Facebook","During trip to NZ"
3184772,136,"None of these","After trip to NZ"
3184778,134,"None of these","After trip to NZ"
3184751,121,"None of these","During trip to NZ"
3184772,135,"Facebook","During trip to NZ"
3184774,130,"Weibu","After trip to NZ"
3184747,133,"None of these","After trip to NZ"
3184778,132,"None of these","Planning trip to NZ"
3184751,120,"None of these","Planning trip to NZ"
3184751,122,"Weibu","After trip to NZ"
3184786,125,"None of these","During trip to NZ"
3184817,137,"None of these","After trip to NZ"
3184784,138,"None of these","During trip to NZ"
3184821,144,"None of these","During trip to NZ"
3184788,121,"None of these","Planning trip to NZ"
3184767,127,"Facebook","During trip to NZ"
3184794,144,"None of these","Planning trip to NZ"
3184795,144,"Facebook","Planning trip to NZ"
3184786,124,"None of these","Planning trip to NZ"
3184767,126,"None of these","Planning trip to NZ"
3184760,126,"None of these","After trip to NZ"
3184817,136,"None of these","During trip to NZ"
3184780,132,"None of these","During trip to NZ"
3184784,137,"None of these","Planning trip to NZ"
3184780,133,"None of these","After trip to NZ"
3184786,126,"Facebook","After trip to NZ"
3184784,139,"None of these","After trip to NZ"
3184821,143,"None of these","Planning trip to NZ"
3184790,141,"None of these","Planning trip to NZ"
3184792,134,"None of these","Planning trip to NZ"
3184821,145,"None of these","After trip to NZ"
3184794,146,"Facebook","After trip to NZ"
3184767,128,"None of these","After trip to NZ"
3184790,144,"Weibu","After trip to NZ"
3184788,122,"None of these","During trip to NZ"
3184833,151,"None of these","During trip to NZ"
3184795,146,"Facebook","After trip to NZ"
3184790,142,"None of these","During trip to NZ"
3184788,123,"Facebook","After trip to NZ"
3184795,145,"None of these","During trip to NZ"
3184802,117,"None of these","During trip to NZ"
3184818,126,"Facebook","After trip to NZ"
3184806,142,"None of these","During trip to NZ"
3184792,135,"None of these","During trip to NZ"
3184796,118,"None of these","During trip to NZ"
3184818,127,"Mixi","After trip to NZ"
3184818,125,"Facebook","During trip to NZ"
3184822,142,"None of these","During trip to NZ"
3184800,152,"None of these","During trip to NZ"
3184790,143,"Kaixin or RenRen","After trip to NZ"
3184794,145,"Facebook","During trip to NZ"
3184802,118,"None of these","After trip to NZ"
3184806,143,"Facebook","After trip to NZ"
3184792,136,"Facebook","After trip to NZ"
3184796,119,"None of these","After trip to NZ"
3184822,143,"Facebook","After trip to NZ"
3184802,116,"None of these","Planning trip to NZ"
3184806,141,"None of these","Planning trip to NZ"
3184822,141,"None of these","Planning trip to NZ"
3184796,117,"None of these","Planning trip to NZ"
3184800,151,"None of these","Planning trip to NZ"
3184849,138,"None of these","Planning trip to NZ"
3184837,147,"None of these","During trip to NZ"
3184799,138,"None of these","Planning trip to NZ"
3184830,123,"Facebook","During trip to NZ"
3184830,124,"Facebook","After trip to NZ"
3184808,127,"None of these","Planning trip to NZ"
3184833,150,"Facebook","Planning trip to NZ"
3184818,124,"None of these","Planning trip to NZ"
3184837,146,"None of these","Planning trip to NZ"
3184800,153,"None of these","After trip to NZ"
3184849,140,"None of these","After trip to NZ"
3184850,114,"None of these","Planning trip to NZ"
3184808,129,"Facebook","After trip to NZ"
3184853,138,"Facebook","During trip to NZ"
3184830,122,"None of these","Planning trip to NZ"
3184833,152,"None of these","After trip to NZ"
3184837,148,"None of these","After trip to NZ"
3184849,139,"None of these","During trip to NZ"
3184834,141,"None of these","Planning trip to NZ"
3184812,116,"None of these","Planning trip to NZ"
3184799,139,"None of these","During trip to NZ"
3184816,125,"None of these","Planning trip to NZ"
3184812,117,"None of these","During trip to NZ"
3184816,126,"None of these","During trip to NZ"
3184811,120,"None of these","During trip to NZ"
3184861,133,"None of these","During trip to NZ"
3184858,127,"None of these","Planning trip to NZ"
3184850,115,"None of these","During trip to NZ"
3184799,140,"None of these","After trip to NZ"
3184853,139,"Facebook","After trip to NZ"
3184834,143,"Facebook","After trip to NZ"
3184812,118,"Facebook","After trip to NZ"
3184815,108,"None of these","Planning trip to NZ"
3184853,137,"None of these","Planning trip to NZ"
3184811,119,"Facebook","Planning trip to NZ"
3184808,128,"None of these","During trip to NZ"
3184850,116,"None of these","After trip to NZ"
3184811,121,"Facebook","After trip to NZ"
3184815,110,"None of these","After trip to NZ"
3184831,129,"Facebook","During trip to NZ"
3184861,134,"None of these","After trip to NZ"
3184816,127,"None of these","After trip to NZ"
3184865,139,"Facebook","During trip to NZ"
3184831,130,"None of these","After trip to NZ"
3184835,128,"None of these","During trip to NZ"
3184866,126,"None of these","After trip to NZ"
3184866,125,"None of these","During trip to NZ"
3184835,129,"Weibu","After trip to NZ"
3184858,129,"Facebook","After trip to NZ"
3184865,140,"None of these","After trip to NZ"
3184820,117,"Facebook","After trip to NZ"
3184824,142,"Facebook","After trip to NZ"
3184861,132,"None of these","Planning trip to NZ"
3184834,142,"None of these","During trip to NZ"
3184865,138,"None of these","Planning trip to NZ"
3184858,128,"None of these","During trip to NZ"
3184815,109,"Facebook","During trip to NZ"
3184820,116,"Facebook","During trip to NZ"
3184824,141,"None of these","During trip to NZ"
3184874,128,"None of these","During trip to NZ"
3184878,137,"None of these","During trip to NZ"
3184874,129,"Weibu","After trip to NZ"
3184878,138,"None of these","After trip to NZ"
3184835,127,"Weibu","Planning trip to NZ"
3184866,124,"None of these","Planning trip to NZ"
3184847,137,"None of these","Planning trip to NZ"
3184873,129,"Kaixin or RenRen","Planning trip to NZ"
3184882,140,"Facebook","Planning trip to NZ"
3184847,139,"Facebook","After trip to NZ"
3184824,143,"Twitter","After trip to NZ"
3184820,115,"None of these","Planning trip to NZ"
3184824,140,"None of these","Planning trip to NZ"
3184874,127,"Weibu","Planning trip to NZ"
