"SurveyResponseID","AnswerNumber","SocialMediaUsed","TripStage"
3193563,133,"Wechat","During trip to NZ"
3339499,135,"Twitter","During trip to NZ"
3339499,136,"None of these","After trip to NZ"
3193579,123,"None of these","During trip to NZ"
3339503,151,"Wechat","During trip to NZ"
3339519,154,"Google+","During trip to NZ"
3193579,124,"None of these","After trip to NZ"
3339487,103,"None of these","Planning trip to NZ"
3339499,133,"None of these","Planning trip to NZ"
3193583,139,"None of these","Planning trip to NZ"
3339531,107,"Facebook","Planning trip to NZ"
3339503,150,"None of these","Planning trip to NZ"
3193547,128,"Twitter","After trip to NZ"
3193563,132,"Facebook","During trip to NZ"
3339499,134,"Facebook","During trip to NZ"
3339519,156,"Wechat","After trip to NZ"
3193567,131,"Google+","Planning trip to NZ"
3193579,122,"Facebook","Planning trip to NZ"
3339519,153,"Wechat","Planning trip to NZ"
3193583,141,"None of these","After trip to NZ"
3339535,141,"Wechat","During trip to NZ"
3339535,142,"Wechat","After trip to NZ"
3339543,124,"None of these","During trip to NZ"
3193599,136,"Facebook","During trip to NZ"
3193607,125,"None of these","After trip to NZ"
3193619,132,"Facebook","After trip to NZ"
3339539,121,"Facebook","After trip to NZ"
3193623,125,"Facebook","During trip to NZ"
3339547,101,"None of these","After trip to NZ"
3193595,133,"Facebook","During trip to NZ"
3193627,134,"Facebook","During trip to NZ"
3193607,124,"None of these","During trip to NZ"
3339543,125,"None of these","After trip to NZ"
3193595,134,"Facebook","After trip to NZ"
3193599,137,"None of these","After trip to NZ"
3193623,126,"None of these","After trip to NZ"
3339539,119,"Facebook","Planning trip to NZ"
3193619,130,"None of these","Planning trip to NZ"
3339559,122,"None of these","During trip to NZ"
3193619,131,"None of these","During trip to NZ"
3339547,100,"Facebook","During trip to NZ"
3193599,135,"None of these","Planning trip to NZ"
3193623,124,"None of these","Planning trip to NZ"
3339559,121,"None of these","Planning trip to NZ"
3193627,133,"Google+","Planning trip to NZ"
3339531,109,"Facebook","After trip to NZ"
3339539,120,"Facebook","During trip to NZ"
3339535,140,"Wechat","Planning trip to NZ"
3193595,132,"None of these","Planning trip to NZ"
3339543,123,"None of these","Planning trip to NZ"
3339547,99,"None of these","Planning trip to NZ"
3193607,123,"Google+","Planning trip to NZ"
3339559,123,"None of these","After trip to NZ"
3193631,145,"None of these","During trip to NZ"
3339583,108,"Facebook","During trip to NZ"
3193635,133,"Facebook","After trip to NZ"
3339575,127,"None of these","After trip to NZ"
3339575,125,"None of these","Planning trip to NZ"
3339583,109,"Facebook","After trip to NZ"
3339603,131,"Google+","During trip to NZ"
3339607,108,"Google+","During trip to NZ"
3193647,145,"Wechat","After trip to NZ"
3193631,146,"Wechat","After trip to NZ"
3193635,132,"Facebook","During trip to NZ"
3339595,101,"Google+","After trip to NZ"
3339599,97,"None of these","After trip to NZ"
3339603,132,"Facebook","After trip to NZ"
3193647,143,"Facebook","During trip to NZ"
3339607,109,"None of these","After trip to NZ"
3339619,144,"Facebook","During trip to NZ"
3339619,145,"Facebook","After trip to NZ"
3339619,146,"Twitter","After trip to NZ"
3339583,107,"Facebook","Planning trip to NZ"
3193627,135,"None of these","After trip to NZ"
3339575,126,"None of these","During trip to NZ"
3339595,100,"Google+","During trip to NZ"
3339599,96,"None of these","During trip to NZ"
3339603,130,"Facebook","During trip to NZ"
3193647,144,"Instagram","During trip to NZ"
3193631,144,"Google+","Planning trip to NZ"
3339595,99,"Google+","Planning trip to NZ"
3339603,129,"Google+","Planning trip to NZ"
3339599,95,"None of these","Planning trip to NZ"
3193659,135,"None of these","Planning trip to NZ"
3339623,113,"Instagram","Planning trip to NZ"
3339619,142,"Facebook","Planning trip to NZ"
3339623,112,"Facebook","Planning trip to NZ"
3193663,143,"None of these","Planning trip to NZ"
3193659,137,"None of these","After trip to NZ"
3339623,115,"Instagram","During trip to NZ"
3193647,142,"Google+","Planning trip to NZ"
3193663,145,"Facebook","After trip to NZ"
3339655,108,"None of these","After trip to NZ"
3193687,141,"Weibu","During trip to NZ"
3339623,116,"Facebook","After trip to NZ"
3193663,144,"None of these","During trip to NZ"
3193675,148,"None of these","During trip to NZ"
3339655,107,"None of these","During trip to NZ"
3339663,108,"None of these","During trip to NZ"
3339667,101,"Facebook","During trip to NZ"
3193687,142,"Weibu","After trip to NZ"
3193675,147,"Facebook","Planning trip to NZ"
3339655,106,"None of these","Planning trip to NZ"
3339663,107,"None of these","Planning trip to NZ"
3193635,131,"Facebook","Planning trip to NZ"
3339607,107,"None of these","Planning trip to NZ"
3339619,143,"Twitter","Planning trip to NZ"
3193659,136,"Google+","During trip to NZ"
3339623,114,"Facebook","During trip to NZ"
3193675,149,"Facebook","After trip to NZ"
3339663,109,"Facebook","After trip to NZ"
3193687,140,"None of these","Planning trip to NZ"
3339667,102,"Instagram","During trip to NZ"
3339667,100,"None of these","Planning trip to NZ"
3193707,126,"None of these","Planning trip to NZ"
3339670,95,"None of these","Planning trip to NZ"
3339674,100,"Facebook","Planning trip to NZ"
3337540,119,"Instagram","Planning trip to NZ"
3193711,128,"None of these","Planning trip to NZ"
3339667,104,"None of these","After trip to NZ"
3193699,127,"None of these","After trip to NZ"
3193699,126,"None of these","During trip to NZ"
3193707,128,"Weibu","After trip to NZ"
3337548,124,"Google+","Planning trip to NZ"
3337540,122,"Weibu","During trip to NZ"
3337540,120,"Google+","Planning trip to NZ"
3339667,103,"Pinterest","During trip to NZ"
3339670,96,"None of these","During trip to NZ"
3193707,127,"Wechat","During trip to NZ"
3339674,101,"Facebook","During trip to NZ"
3193715,142,"Weibu","Planning trip to NZ"
3339689,169,"None of these","Planning trip to NZ"
3337540,123,"Pinterest","During trip to NZ"
3339693,133,"Google+","Planning trip to NZ"
3337540,121,"Twitter","During trip to NZ"
3193731,119,"None of these","Planning trip to NZ"
3339696,123,"None of these","Planning trip to NZ"
3193715,143,"Google+","Planning trip to NZ"
3193711,130,"Weibu","After trip to NZ"
3337548,125,"Facebook","During trip to NZ"
3337548,126,"Google+","During trip to NZ"
3339689,170,"None of these","During trip to NZ"
3339689,171,"None of these","After trip to NZ"
3193715,146,"Weibu","After trip to NZ"
3339693,135,"Google+","After trip to NZ"
3339693,134,"Google+","During trip to NZ"
3193731,120,"Instagram","During trip to NZ"
3337548,127,"None of these","After trip to NZ"
3337556,129,"None of these","Planning trip to NZ"
3339696,125,"None of these","After trip to NZ"
3193731,121,"Weibu","After trip to NZ"
3193735,130,"None of these","Planning trip to NZ"
3193715,145,"None of these","During trip to NZ"
3193699,125,"Google+","Planning trip to NZ"
3339670,97,"None of these","After trip to NZ"
3193715,144,"Wechat","Planning trip to NZ"
3193711,129,"Weibu","During trip to NZ"
3337540,124,"Wechat","After trip to NZ"
3339674,102,"Facebook","After trip to NZ"
3339696,124,"None of these","During trip to NZ"
3339700,136,"None of these","Planning trip to NZ"
3337560,140,"None of these","Planning trip to NZ"
3339700,137,"None of these","During trip to NZ"
3339716,134,"None of these","Planning trip to NZ"
3337556,131,"Facebook","After trip to NZ"
3193735,133,"Wechat","After trip to NZ"
3193739,144,"Google+","Planning trip to NZ"
3193739,145,"Weibu","During trip to NZ"
3193735,132,"Google+","During trip to NZ"
3337560,141,"None of these","During trip to NZ"
3339700,138,"Weibu","After trip to NZ"
3339716,135,"None of these","During trip to NZ"
3193735,131,"Instagram","During trip to NZ"
3193739,143,"Weibu","Planning trip to NZ"
3337556,130,"Facebook","During trip to NZ"
3337560,142,"None of these","After trip to NZ"
3193739,146,"Weibu","After trip to NZ"
3337576,220,"None of these","Planning trip to NZ"
3193743,132,"None of these","Planning trip to NZ"
3339728,134,"None of these","Planning trip to NZ"
3337588,125,"None of these","Planning trip to NZ"
3339716,136,"Facebook","After trip to NZ"
3337584,138,"Google+","After trip to NZ"
3193751,124,"None of these","After trip to NZ"
3193751,122,"Weibu","Planning trip to NZ"
3337525,96,"None of these","During trip to NZ"
3337588,127,"Weibu","After trip to NZ"
3337525,95,"None of these","Planning trip to NZ"
3339732,130,"None of these","During trip to NZ"
3337576,222,"Facebook","After trip to NZ"
3193743,133,"Weibu","During trip to NZ"
3337616,112,"None of these","Planning trip to NZ"
3337612,130,"Google+","Planning trip to NZ"
3337584,137,"Instagram","During trip to NZ"
3339728,136,"None of these","After trip to NZ"
3337525,97,"None of these","After trip to NZ"
3339732,129,"None of these","Planning trip to NZ"
3193759,127,"Google+","Planning trip to NZ"
3337529,96,"None of these","Planning trip to NZ"
3337533,105,"None of these","Planning trip to NZ"
3337584,136,"Facebook","Planning trip to NZ"
3337576,221,"Facebook","During trip to NZ"
3193743,134,"Weibu","After trip to NZ"
3339728,135,"None of these","During trip to NZ"
3193751,123,"None of these","During trip to NZ"
3337588,126,"None of these","During trip to NZ"
3193759,128,"None of these","During trip to NZ"
3193767,129,"None of these","Planning trip to NZ"
3339740,117,"Google+","Planning trip to NZ"
3193759,129,"Weibu","After trip to NZ"
3337612,132,"Google+","During trip to NZ"
3337624,111,"None of these","Planning trip to NZ"
3193787,121,"None of these","Planning trip to NZ"
3337628,129,"Google+","Planning trip to NZ"
3337529,98,"None of these","After trip to NZ"
3337557,125,"None of these","Planning trip to NZ"
3337612,133,"Facebook","After trip to NZ"
3339752,110,"None of these","Planning trip to NZ"
3337533,107,"Instagram","During trip to NZ"
3337616,113,"Facebook","During trip to NZ"
3339740,118,"Facebook","During trip to NZ"
3193767,131,"Weibu","After trip to NZ"
3193767,130,"None of these","During trip to NZ"
3337620,128,"Google+","After trip to NZ"
3337533,108,"Facebook","After trip to NZ"
3339740,119,"Facebook","After trip to NZ"
3337620,127,"Google+","During trip to NZ"
3337624,112,"None of these","During trip to NZ"
3337624,113,"None of these","After trip to NZ"
3337569,167,"Facebook","Planning trip to NZ"
3337529,97,"None of these","During trip to NZ"
3337612,131,"Facebook","During trip to NZ"
3339732,131,"Facebook","After trip to NZ"
3337533,106,"Facebook","During trip to NZ"
3337616,114,"Facebook","After trip to NZ"
3337620,126,"Google+","Planning trip to NZ"
3337533,109,"Instagram","After trip to NZ"
3337569,169,"Google+","Planning trip to NZ"
3339760,128,"None of these","Planning trip to NZ"
3337569,168,"Pinterest","Planning trip to NZ"
3193787,123,"Weibu","After trip to NZ"
3337557,126,"None of these","During trip to NZ"
3337585,171,"None of these","Planning trip to NZ"
3337628,130,"None of these","During trip to NZ"
3339752,112,"Weibu","After trip to NZ"
3193807,129,"Facebook","During trip to NZ"
3337569,171,"Twitter","During trip to NZ"
3337569,170,"Facebook","During trip to NZ"
3193807,130,"Facebook","After trip to NZ"
3193819,120,"Facebook","Planning trip to NZ"
3193787,122,"None of these","During trip to NZ"
3193807,128,"None of these","Planning trip to NZ"
3337557,127,"None of these","After trip to NZ"
3339752,111,"None of these","During trip to NZ"
3337632,127,"None of these","Planning trip to NZ"
3337628,131,"Facebook","After trip to NZ"
3339760,129,"Wechat","During trip to NZ"
3337628,132,"Google+","After trip to NZ"
3337569,172,"Instagram","During trip to NZ"
3339768,128,"None of these","Planning trip to NZ"
3193827,136,"None of these","Planning trip to NZ"
3339760,130,"None of these","After trip to NZ"
3337585,172,"Facebook","During trip to NZ"
3337632,128,"None of these","During trip to NZ"
3193819,122,"Facebook","After trip to NZ"
3337569,174,"Instagram","After trip to NZ"
3339772,124,"None of these","Planning trip to NZ"
3337569,173,"Facebook","After trip to NZ"
3337585,175,"Pinterest","During trip to NZ"
3337585,174,"Instagram","During trip to NZ"
3337585,173,"Twitter","During trip to NZ"
3337593,113,"None of these","After trip to NZ"
3193827,137,"Google+","During trip to NZ"
3337585,176,"Google+","During trip to NZ"
3339768,130,"None of these","After trip to NZ"
3193819,121,"Facebook","During trip to NZ"
3339768,129,"Facebook","During trip to NZ"
3337585,178,"None of these","After trip to NZ"
3337593,111,"None of these","Planning trip to NZ"
3339772,125,"Facebook","During trip to NZ"
3337585,177,"Wechat","During trip to NZ"
3337593,112,"None of these","During trip to NZ"
3193827,138,"None of these","After trip to NZ"
3193843,123,"Wechat","Planning trip to NZ"
3339772,126,"Facebook","After trip to NZ"
3193851,134,"Facebook","During trip to NZ"
3337632,129,"None of these","After trip to NZ"
3193843,125,"None of these","After trip to NZ"
3193843,122,"Facebook","Planning trip to NZ"
3337636,106,"None of these","Planning trip to NZ"
3337617,110,"None of these","Planning trip to NZ"
3193851,133,"Facebook","Planning trip to NZ"
3337621,135,"Facebook","Planning trip to NZ"
3337625,125,"Google+","Planning trip to NZ"
3337653,120,"Facebook","Planning trip to NZ"
3193843,124,"None of these","During trip to NZ"
3339772,127,"Pinterest","After trip to NZ"
3337636,107,"None of these","During trip to NZ"
3337617,112,"None of these","After trip to NZ"
3337621,137,"Facebook","After trip to NZ"
3339788,117,"None of these","Planning trip to NZ"
3337636,108,"None of these","After trip to NZ"
3339808,129,"None of these","Planning trip to NZ"
3339804,123,"Wechat","During trip to NZ"
3337653,122,"None of these","During trip to NZ"
3339788,119,"Facebook","After trip to NZ"
3339804,122,"Facebook","During trip to NZ"
3337640,108,"Facebook","During trip to NZ"
3337661,150,"Twitter","Planning trip to NZ"
3339816,120,"None of these","Planning trip to NZ"
3339812,131,"None of these","Planning trip to NZ"
3193859,122,"None of these","During trip to NZ"
3339804,121,"Google+","Planning trip to NZ"
3337653,123,"Facebook","After trip to NZ"
3339808,131,"Instagram","After trip to NZ"
3337653,121,"Wechat","Planning trip to NZ"
3193859,121,"None of these","Planning trip to NZ"
3337625,127,"Facebook","After trip to NZ"
3339804,124,"Facebook","After trip to NZ"
3337644,128,"None of these","Planning trip to NZ"
3337640,109,"Facebook","After trip to NZ"
3339812,132,"None of these","During trip to NZ"
3337617,111,"None of these","During trip to NZ"
3339788,118,"None of these","During trip to NZ"
3337621,136,"Facebook","During trip to NZ"
3337640,107,"None of these","Planning trip to NZ"
3337625,126,"Facebook","During trip to NZ"
3193851,135,"None of these","After trip to NZ"
3339808,130,"Facebook","During trip to NZ"
3339816,121,"None of these","During trip to NZ"
3337644,129,"Facebook","During trip to NZ"
3337644,130,"None of these","After trip to NZ"
3339812,133,"Facebook","After trip to NZ"
3193863,131,"Wechat","During trip to NZ"
3337661,151,"Facebook","During trip to NZ"
3339816,122,"Wechat","After trip to NZ"
3337661,152,"Twitter","During trip to NZ"
3193859,123,"None of these","After trip to NZ"
3193863,130,"Google+","During trip to NZ"
3193863,129,"None of these","Planning trip to NZ"
3193883,135,"None of these","Planning trip to NZ"
3461395,104,"None of these","Planning trip to NZ"
3337669,120,"None of these","Planning trip to NZ"
3193863,132,"Instagram","After trip to NZ"
3461385,115,"Facebook","After trip to NZ"
3339820,126,"None of these","Planning trip to NZ"
3337668,116,"None of these","Planning trip to NZ"
3337661,153,"Facebook","After trip to NZ"
3461385,114,"Facebook","During trip to NZ"
3337669,122,"None of these","After trip to NZ"
3337676,121,"Google+","Planning trip to NZ"
3461397,166,"Facebook","Planning trip to NZ"
3339820,128,"None of these","After trip to NZ"
3337661,154,"Twitter","After trip to NZ"
3337669,121,"None of these","During trip to NZ"
3193891,132,"None of these","Planning trip to NZ"
3337668,118,"Google+","During trip to NZ"
3337689,151,"None of these","During trip to NZ"
3337689,152,"None of these","After trip to NZ"
3337701,117,"Google+","Planning trip to NZ"
3337721,177,"None of these","Planning trip to NZ"
3461404,122,"Facebook","Planning trip to NZ"
3193883,137,"None of these","After trip to NZ"
3337668,119,"None of these","After trip to NZ"
3461395,106,"None of these","After trip to NZ"
3337701,119,"Instagram","After trip to NZ"
3461397,167,"Facebook","During trip to NZ"
3193891,133,"None of these","During trip to NZ"
3461404,123,"Facebook","During trip to NZ"
3337676,123,"None of these","After trip to NZ"
3337701,118,"Instagram","During trip to NZ"
3461397,168,"Facebook","After trip to NZ"
3461385,113,"Facebook","Planning trip to NZ"
3193891,134,"Wechat","After trip to NZ"
3337689,150,"None of these","Planning trip to NZ"
3337721,178,"Facebook","During trip to NZ"
3339820,127,"None of these","During trip to NZ"
3337668,117,"Facebook","During trip to NZ"
3193883,136,"Google+","During trip to NZ"
3461395,105,"None of these","During trip to NZ"
3337676,122,"Google+","During trip to NZ"
3193903,126,"None of these","Planning trip to NZ"
3461404,124,"Facebook","After trip to NZ"
3337680,101,"None of these","Planning trip to NZ"
3461424,101,"Facebook","Planning trip to NZ"
3461420,119,"Facebook","Planning trip to NZ"
3337721,179,"Facebook","After trip to NZ"
3461420,120,"Twitter","Planning trip to NZ"
3337680,102,"None of these","During trip to NZ"
3337680,103,"None of these","After trip to NZ"
3337733,105,"None of these","Planning trip to NZ"
3337696,101,"None of these","Planning trip to NZ"
3337712,119,"Google+","Planning trip to NZ"
3461428,110,"None of these","Planning trip to NZ"
3193903,127,"Facebook","During trip to NZ"
3337745,141,"None of these","Planning trip to NZ"
3461420,122,"Facebook","After trip to NZ"
3337696,103,"Facebook","After trip to NZ"
3461424,102,"Facebook","During trip to NZ"
3337712,120,"Google+","During trip to NZ"
3461432,123,"None of these","Planning trip to NZ"
3461420,121,"Twitter","During trip to NZ"
3337733,106,"Facebook","During trip to NZ"
3337696,102,"Facebook","During trip to NZ"
3337712,121,"Facebook","After trip to NZ"
3461428,111,"None of these","During trip to NZ"
3337733,107,"None of these","After trip to NZ"
3193907,112,"None of these","Planning trip to NZ"
3337745,142,"None of these","During trip to NZ"
3337765,127,"Weibu","After trip to NZ"
3337765,125,"Google+","Planning trip to NZ"
3337728,102,"None of these","During trip to NZ"
3337794,146,"None of these","Planning trip to NZ"
3461432,125,"None of these","After trip to NZ"
3461440,138,"None of these","Planning trip to NZ"
3337798,105,"None of these","Planning trip to NZ"
3193903,128,"Facebook","After trip to NZ"
3337712,122,"Google+","After trip to NZ"
3337728,103,"None of these","After trip to NZ"
3193911,146,"None of these","Planning trip to NZ"
3461424,103,"Facebook","After trip to NZ"
3337728,101,"None of these","Planning trip to NZ"
3461428,112,"None of these","After trip to NZ"
3337745,143,"Facebook","After trip to NZ"
3461432,124,"None of these","During trip to NZ"
3337765,126,"None of these","During trip to NZ"
3337736,106,"None of these","Planning trip to NZ"
3337752,122,"Facebook","Planning trip to NZ"
3337736,108,"Google+","After trip to NZ"
3337794,148,"Facebook","After trip to NZ"
3337736,107,"Google+","During trip to NZ"
3461440,140,"Google+","During trip to NZ"
3337794,147,"Facebook","During trip to NZ"
3337752,123,"Facebook","During trip to NZ"
3193907,114,"None of these","After trip to NZ"
3337798,106,"None of these","During trip to NZ"
3461440,141,"Facebook","After trip to NZ"
3193911,148,"Google+","During trip to NZ"
3337752,124,"Wechat","After trip to NZ"
3337800,141,"Instagram","During trip to NZ"
3193911,149,"Wechat","During trip to NZ"
3461444,127,"None of these","Planning trip to NZ"
3337764,116,"None of these","Planning trip to NZ"
3337802,131,"Google+","Planning trip to NZ"
3193911,147,"Facebook","During trip to NZ"
3337800,140,"None of these","Planning trip to NZ"
3337802,130,"Weibu","Planning trip to NZ"
3193911,150,"Google+","After trip to NZ"
3337764,118,"None of these","After trip to NZ"
3337802,133,"Weibu","After trip to NZ"
3337804,163,"None of these","During trip to NZ"
3193907,113,"None of these","During trip to NZ"
3461440,139,"Facebook","During trip to NZ"
3337798,107,"Facebook","After trip to NZ"
3461440,142,"Instagram","After trip to NZ"
3337800,142,"None of these","After trip to NZ"
3337764,117,"None of these","During trip to NZ"
3337802,132,"Instagram","During trip to NZ"
3337772,112,"Weibu","Planning trip to NZ"
3337806,122,"Facebook","Planning trip to NZ"
3337772,113,"Instagram","Planning trip to NZ"
3337816,125,"None of these","Planning trip to NZ"
3337772,116,"Instagram","During trip to NZ"
3337772,119,"Instagram","After trip to NZ"
3337772,118,"Weibu","After trip to NZ"
3337806,124,"Facebook","After trip to NZ"
3461448,115,"None of these","Planning trip to NZ"
3337844,123,"Facebook","Planning trip to NZ"
3337816,127,"None of these","After trip to NZ"
3337780,126,"Google+","Planning trip to NZ"
3461444,129,"Instagram","During trip to NZ"
3337778,118,"Wechat","During trip to NZ"
3337804,164,"None of these","After trip to NZ"
3337772,115,"Weibu","During trip to NZ"
3461444,128,"Facebook","During trip to NZ"
3337816,126,"None of these","During trip to NZ"
3337778,117,"Instagram","During trip to NZ"
3337782,119,"None of these","Planning trip to NZ"
3337804,162,"None of these","Planning trip to NZ"
3337772,114,"Wechat","Planning trip to NZ"
3337772,117,"Wechat","During trip to NZ"
3337806,123,"Facebook","During trip to NZ"
3337772,120,"Wechat","After trip to NZ"
3337778,116,"None of these","Planning trip to NZ"
3461444,130,"Google+","During trip to NZ"
3461444,132,"None of these","After trip to NZ"
3461444,131,"Wechat","During trip to NZ"
3337778,119,"Instagram","After trip to NZ"
3337778,120,"Wechat","After trip to NZ"
3337780,127,"Instagram","During trip to NZ"
3461448,116,"Facebook","During trip to NZ"
3461448,117,"Google+","During trip to NZ"
3337844,124,"Facebook","During trip to NZ"
3337780,128,"None of these","After trip to NZ"
3193927,129,"None of these","After trip to NZ"
3193931,127,"None of these","During trip to NZ"
3193935,141,"None of these","After trip to NZ"
3193931,128,"Facebook","After trip to NZ"
3193927,128,"Google+","During trip to NZ"
3193939,131,"Facebook","After trip to NZ"
3461448,118,"None of these","After trip to NZ"
3193927,127,"None of these","Planning trip to NZ"
3461452,145,"None of these","During trip to NZ"
3337844,125,"Twitter","During trip to NZ"
3193931,126,"None of these","Planning trip to NZ"
3337844,126,"Instagram","During trip to NZ"
3337782,121,"None of these","After trip to NZ"
3193935,139,"Facebook","Planning trip to NZ"
3193939,130,"None of these","During trip to NZ"
3337844,128,"Twitter","After trip to NZ"
3337811,134,"Google+","Planning trip to NZ"
3337848,114,"None of these","Planning trip to NZ"
3337827,117,"None of these","Planning trip to NZ"
3337811,136,"None of these","After trip to NZ"
3193935,140,"Facebook","During trip to NZ"
3337782,120,"None of these","During trip to NZ"
3461452,144,"Google+","Planning trip to NZ"
3461456,122,"None of these","Planning trip to NZ"
3337844,127,"Facebook","After trip to NZ"
3193943,149,"None of these","Planning trip to NZ"
3193939,129,"None of these","Planning trip to NZ"
3461460,115,"None of these","Planning trip to NZ"
3461452,146,"None of these","After trip to NZ"
3337811,135,"Instagram","During trip to NZ"
3337844,129,"Instagram","After trip to NZ"
3193947,123,"None of these","Planning trip to NZ"
3193951,125,"Google+","Planning trip to NZ"
3337823,125,"Facebook","Planning trip to NZ"
3193943,151,"None of these","After trip to NZ"
3337831,149,"None of these","Planning trip to NZ"
3337827,118,"None of these","During trip to NZ"
3193947,125,"None of these","After trip to NZ"
3337831,150,"None of these","During trip to NZ"
3337848,116,"Weibu","After trip to NZ"
3193951,128,"None of these","After trip to NZ"
3337843,128,"Facebook","During trip to NZ"
3461456,124,"Instagram","After trip to NZ"
3337823,126,"Facebook","During trip to NZ"
3337827,119,"None of these","After trip to NZ"
3337848,115,"None of these","During trip to NZ"
3461460,117,"None of these","After trip to NZ"
3193955,137,"None of these","During trip to NZ"
3337843,129,"Google+","During trip to NZ"
3193943,150,"Wechat","During trip to NZ"
3193951,126,"Wechat","Planning trip to NZ"
3337823,127,"None of these","After trip to NZ"
3193947,124,"Facebook","During trip to NZ"
3337831,151,"None of these","After trip to NZ"
3337872,127,"None of these","Planning trip to NZ"
3193959,123,"None of these","Planning trip to NZ"
3193963,129,"Facebook","Planning trip to NZ"
3461456,123,"None of these","During trip to NZ"
3461468,123,"None of these","Planning trip to NZ"
3193951,127,"Facebook","During trip to NZ"
3337871,126,"Facebook","Planning trip to NZ"
3337843,127,"Google+","Planning trip to NZ"
3337859,109,"Facebook","During trip to NZ"
3337876,120,"None of these","During trip to NZ"
3337883,111,"Weibu","Planning trip to NZ"
3461460,116,"None of these","During trip to NZ"
3193959,124,"Google+","During trip to NZ"
3193955,136,"None of these","Planning trip to NZ"
3337843,130,"Facebook","After trip to NZ"
3461464,125,"None of these","During trip to NZ"
3337859,110,"Facebook","After trip to NZ"
3461464,124,"Facebook","Planning trip to NZ"
3193955,138,"Facebook","After trip to NZ"
3337872,129,"None of these","After trip to NZ"
3461464,126,"None of these","After trip to NZ"
3337859,108,"Facebook","Planning trip to NZ"
3461468,124,"None of these","During trip to NZ"
3193963,130,"None of these","During trip to NZ"
3337871,127,"Wechat","During trip to NZ"
3193959,125,"None of these","After trip to NZ"
3337880,131,"Twitter","Planning trip to NZ"
3337880,132,"Instagram","Planning trip to NZ"
3337872,128,"Google+","During trip to NZ"
3337871,128,"Facebook","After trip to NZ"
3337876,121,"None of these","After trip to NZ"
3193963,131,"None of these","After trip to NZ"
3461484,114,"Facebook","Planning trip to NZ"
3337883,113,"Weibu","During trip to NZ"
3337880,133,"Google+","Planning trip to NZ"
3461488,142,"None of these","Planning trip to NZ"
3193967,115,"None of these","Planning trip to NZ"
3337883,114,"Wechat","During trip to NZ"
3337888,153,"None of these","During trip to NZ"
3337880,134,"Wechat","Planning trip to NZ"
3337888,152,"Facebook","Planning trip to NZ"
3461484,115,"Facebook","During trip to NZ"
3461488,143,"None of these","During trip to NZ"
3337883,116,"Wechat","After trip to NZ"
3193975,128,"None of these","Planning trip to NZ"
3461492,133,"Google+","Planning trip to NZ"
3461496,148,"Google+","Planning trip to NZ"
3337891,106,"None of these","Planning trip to NZ"
3193983,131,"Facebook","Planning trip to NZ"
3337880,136,"Facebook","After trip to NZ"
3193967,117,"None of these","After trip to NZ"
3337888,154,"Facebook","After trip to NZ"
3337887,103,"None of these","Planning trip to NZ"
3337896,117,"None of these","Planning trip to NZ"
3337876,119,"None of these","Planning trip to NZ"
3461468,125,"None of these","After trip to NZ"
3337883,112,"Wechat","Planning trip to NZ"
3337880,135,"Facebook","During trip to NZ"
3193967,116,"Facebook","During trip to NZ"
3337883,115,"Weibu","After trip to NZ"
3461484,116,"Facebook","After trip to NZ"
3461488,144,"None of these","After trip to NZ"
3193975,129,"Facebook","During trip to NZ"
3337888,155,"Instagram","After trip to NZ"
3337887,104,"None of these","During trip to NZ"
3337887,105,"None of these","After trip to NZ"
3337896,118,"None of these","During trip to NZ"
3461492,134,"None of these","During trip to NZ"
3193983,133,"Facebook","During trip to NZ"
3337916,135,"Facebook","After trip to NZ"
3337891,108,"None of these","After trip to NZ"
3337907,122,"None of these","During trip to NZ"
3193987,135,"Facebook","During trip to NZ"
3193991,136,"Google+","During trip to NZ"
3461500,147,"Facebook","During trip to NZ"
3337932,116,"Facebook","During trip to NZ"
3337911,134,"None of these","During trip to NZ"
3193975,130,"None of these","After trip to NZ"
3337896,119,"None of these","After trip to NZ"
3337891,107,"None of these","During trip to NZ"
3461496,149,"Facebook","During trip to NZ"
3337916,134,"None of these","During trip to NZ"
3193991,137,"None of these","After trip to NZ"
3337907,123,"None of these","After trip to NZ"
3337932,118,"Facebook","After trip to NZ"
3337911,135,"None of these","After trip to NZ"
3461500,148,"Twitter","After trip to NZ"
3193999,139,"None of these","During trip to NZ"
3337932,119,"Twitter","After trip to NZ"
3193983,132,"Google+","Planning trip to NZ"
3337916,133,"None of these","Planning trip to NZ"
3193987,134,"None of these","Planning trip to NZ"
3337907,121,"None of these","Planning trip to NZ"
3461492,135,"None of these","After trip to NZ"
3194019,145,"None of these","During trip to NZ"
3337919,125,"Facebook","During trip to NZ"
3193983,134,"None of these","After trip to NZ"
3461496,150,"None of these","After trip to NZ"
3193987,136,"Facebook","After trip to NZ"
3337932,117,"Twitter","During trip to NZ"
3193999,140,"None of these","After trip to NZ"
3461500,146,"Facebook","Planning trip to NZ"
3461504,140,"Facebook","During trip to NZ"
3194019,146,"Facebook","After trip to NZ"
3461504,141,"Twitter","After trip to NZ"
3337911,133,"None of these","Planning trip to NZ"
3337919,126,"Facebook","After trip to NZ"
3337944,109,"Instagram","During trip to NZ"
3337932,115,"Twitter","Planning trip to NZ"
3337931,129,"None of these","Planning trip to NZ"
3337944,108,"Facebook","During trip to NZ"
3193991,135,"None of these","Planning trip to NZ"
3194023,132,"None of these","After trip to NZ"
