"SurveyResponseID","AnswerNumber","HobbitExpType"
3187073,117,"The scenery"
3187073,118,"Wanted to see if the scenery was like it was in the film"
3187073,119,"Wanted to see where the film was made"
3187098,100,"The scenery"
3187108,118,"The scenery"
3187108,119,"Wanted to see if the scenery was like it was in the film"
3187108,120,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187116,110,"The scenery"
3187165,113,"The scenery"
3187165,114,"I wanted to visit Hobbiton"
3187192,115,"The scenery"
3187192,116,"Wanted to see if the scenery was like it was in the film"
3187193,116,"The scenery"
3187193,117,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187193,118,"Wanted to see where the film was made"
3187207,97,"The scenery"
3187207,98,"Wanted to see if the scenery was like it was in the film"
3187217,109,"The scenery"
3187217,110,"Wanted to see if the scenery was like it was in the film"
3187217,111,"Wanted to see where the film was made"
3187257,145,"The scenery"
3187257,146,"Wanted to see if the scenery was like it was in the film"
3187257,147,"Wanted to see where the film was made"
3187257,148,"I wanted to visit Hobbiton"
3187257,149,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187275,110,"The scenery"
3187275,111,"Wanted to see where the film was made"
3187278,118,"The scenery"
3187278,119,"Wanted to see where the film was made"
3187293,119,"Wanted to see if the scenery was like it was in the film"
3187326,109,"The scenery"
3187326,110,"I wanted to visit Hobbiton"
3187363,114,"The scenery"
3187363,115,"Wanted to see if the scenery was like it was in the film"
3187363,116,"Wanted to see where the film was made"
3187365,101,"The scenery"
3187365,102,"Wanted to see if the scenery was like it was in the film"
3187365,103,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187365,104,"Wanted to see where the film was made"
3187375,106,"The scenery"
3187375,107,"Wanted to see if the scenery was like it was in the film"
3187375,108,"I wanted to visit Hobbiton"
3187393,117,"The scenery"
3187393,118,"I wanted to visit Hobbiton"
3187409,115,"Wanted to see where the film was made"
3187424,106,"Wanted to see if the scenery was like it was in the film"
3187424,107,"Wanted to see where the film was made"
3187448,115,"The scenery"
3187448,116,"Wanted to see if the scenery was like it was in the film"
3187448,117,"Wanted to see where the film was made"
3187456,105,"The scenery"
3187461,102,"The scenery"
3187597,114,"The scenery"
3187597,115,"Wanted to see if the scenery was like it was in the film"
3187597,116,"Wanted to see where the film was made"
3187654,114,"Wanted to see if the scenery was like it was in the film"
3187654,115,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187654,116,"Wanted to see where the film was made"
3187654,117,"I wanted to visit Hobbiton"
3187654,118,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187681,110,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187694,111,"The scenery"
3187694,112,"Wanted to see if the scenery was like it was in the film"
3187706,136,"The scenery"
3187706,137,"I wanted to visit Hobbiton"
3187717,115,"The scenery"
3187717,116,"Wanted to see if the scenery was like it was in the film"
3187730,99,"Wanted to see if the scenery was like it was in the film"
3187744,129,"The scenery"
3187744,130,"Wanted to see if the scenery was like it was in the film"
3187744,131,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
3187744,132,"Wanted to see where the film was made"
3187744,133,"I wanted to visit Hobbiton"
3187744,134,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187773,111,"The scenery"
3187773,112,"Wanted to see if the scenery was like it was in the film"
3187773,113,"Wanted to see where the film was made"
3187773,114,"I wanted to visit Hobbiton"
3187773,115,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187778,113,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187807,128,"Wanted to see if the scenery was like it was in the film"
3187807,129,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187808,132,"The scenery"
3187808,133,"Wanted to see where the film was made"
3187808,134,"It just raised my awareness of New Zealand/ made me think of New Zealand as a place to visit"
3187813,106,"The scenery"
3187813,107,"I'm a Tolkien fan / love The Hobbit, Lord of the Rings"
