"SurveyResponseID","AnswerNumber","QualmarkFailedExpn"
3185438,137,"Noisy"
3185112,146,"Noisy"
3185438,131,"Poor/old facilities"
3185438,133,"Poor customer service"
3185438,134,"Poor standard of cleanliness/dirty"
3185438,132,"The Qualmark rating was too high"
3185415,154,"Poor value for money"
3185438,136,"Poor value for money"
3185125,165,"No free internet"
3185125,166,"No air-conditioning/heating inadequate"
3185125,162,"Poor/old facilities"
3185125,164,"Too expensive"
3185449,140,"Too expensive"
3185449,141,"Poor customer service"
3185112,147,"Another reason"
3185125,163,"The Qualmark rating was too high"
3185125,167,"Another reason"
3185449,142,"Noisy"
3185503,145,"No free internet"
3185503,142,"The Qualmark rating was too high"
3185522,146,"The Qualmark rating was too high"
3185503,141,"Poor/old facilities"
3185503,143,"Poor customer service"
3185503,144,"Poor standard of cleanliness/dirty"
3185522,145,"Poor/old facilities"
3185503,146,"Noisy"
3185522,149,"No air-conditioning/heating inadequate"
3185522,147,"Too expensive"
3185522,148,"Poor standard of cleanliness/dirty"
3185175,137,"Poor/old facilities"
3185175,139,"Too expensive"
3185175,140,"Poor customer service"
3191164,137,"Poor customer service"
3185522,150,"Poor value for money"
3185175,138,"The Qualmark rating was too high"
3191246,156,"Poor value for money"
3191164,139,"Another reason"
3191246,154,"The Qualmark rating was too high"
3191271,141,"The Qualmark rating was too high"
3191164,138,"Poor standard of cleanliness/dirty"
3191246,155,"Poor customer service"
3191271,140,"Poor/old facilities"
3191271,142,"Too expensive"
3191271,143,"Poor standard of cleanliness/dirty"
3185175,141,"Poor standard of cleanliness/dirty"
3185522,151,"Noisy"
3191271,144,"No free internet"
3191271,145,"Poor value for money"
3191271,146,"Another reason"
3185175,143,"Another reason"
3185538,148,"The Qualmark rating was too high"
3185195,151,"The Qualmark rating was too high"
3191346,144,"The Qualmark rating was too high"
3185538,149,"Too expensive"
3185538,150,"Poor standard of cleanliness/dirty"
3191305,160,"Too expensive"
3191305,161,"Poor standard of cleanliness/dirty"
3185195,152,"Too expensive"
3191346,143,"Poor/old facilities"
3191305,164,"Noisy"
3191346,150,"Noisy"
3185175,142,"Poor value for money"
3191305,162,"Generally poor standard"
3191346,151,"Another reason"
3191350,157,"The Qualmark rating was too high"
3191346,145,"Too expensive"
3191346,146,"Poor customer service"
3191346,147,"Poor standard of cleanliness/dirty"
3191350,156,"Poor/old facilities"
3191350,160,"No free internet"
3185538,151,"No free internet"
3191350,162,"Another reason"
3191350,158,"Too expensive"
3191350,159,"Poor customer service"
3185551,126,"Poor/old facilities"
3185538,153,"Noisy"
3185551,129,"No free internet"
3191305,163,"Poor value for money"
3191346,148,"Generally poor standard"
3191346,149,"Poor value for money"
3191350,161,"Generally poor standard"
3185540,141,"The Qualmark rating was too high"
3185551,127,"Too expensive"
3185551,128,"Poor standard of cleanliness/dirty"
3185540,140,"Poor/old facilities"
3185540,142,"Poor customer service"
3185540,143,"Poor standard of cleanliness/dirty"
3185636,147,"Poor/old facilities"
3185538,152,"Poor value for money"
3185551,130,"Generally poor standard"
3185636,148,"The Qualmark rating was too high"
3185551,131,"Noisy"
3185636,151,"No air-conditioning/heating inadequate"
3185636,152,"Poor value for money"
3185195,153,"Generally poor standard"
3185195,154,"Poor value for money"
3185636,149,"Too expensive"
3185636,150,"Poor standard of cleanliness/dirty"
3185819,163,"Poor/old facilities"
3185819,164,"Poor customer service"
3185819,165,"Poor standard of cleanliness/dirty"
3185195,155,"Noisy"
3185309,126,"No free internet"
3185309,127,"Generally poor standard"
3185309,128,"Poor value for money"
3185309,124,"Poor customer service"
3185309,125,"Poor standard of cleanliness/dirty"
3185379,120,"Poor/old facilities"
3185309,123,"The Qualmark rating was too high"
3185309,129,"Noisy"
3185379,125,"No air-conditioning/heating inadequate"
3185379,121,"Too expensive"
3185379,122,"Poor customer service"
3185379,123,"Poor standard of cleanliness/dirty"
3185819,166,"Generally poor standard"
3185819,167,"Poor value for money"
3185379,124,"Generally poor standard"
3185379,126,"Poor value for money"
3185394,143,"No air-conditioning/heating inadequate"
3185819,168,"Another reason"
3185394,145,"Another reason"
3185394,144,"Noisy"
3185410,144,"No free internet"
