"SurveyResponseID","AnswerNumber","iSiteUsage"
3461646,85,"Maps"
3461461,88,"Weather information"
3461491,104,"Accommodation in the region you were in"
3461491,105,"Transport/ travel options around New Zealand"
3461491,103,"Overview of NZ regions"
3461491,106,"Attractions / Activities"
3461687,77,"General information about the region you were in"
3464162,78,"Directions"
3461491,100,"Access to resources to assist you to plan"
3461491,101,"Information about Maori culture / cultural activities"
3461491,102,"Directions"
3461687,78,"Access to resources to assist you to plan"
3461687,81,"Attractions / Activities"
3461492,85,"Check/confirm existing travel plans"
3461492,86,"Compare prices / find deals"
3461492,87,"Directions"
3461492,88,"General information about a different region"
3461687,79,"Maps"
3461687,80,"Internet access"
3461493,93,"Weather information"
3461493,97,"Accommodation in the region you were in"
3461494,89,"Information about amenities/services for the town you were in"
3461493,98,"Attractions / Activities"
3461493,96,"Directions"
3461493,99,"Suggested itineraries"
3461493,94,"Maps"
3461493,95,"Internet access"
3461494,86,"Weather information"
3461494,90,"Event information"
3461705,81,"Information about amenities/services for the town you were in"
3461705,82,"Event information"
3461494,88,"Directions"
3461508,92,"General information about a different region"
3461508,90,"General information about the region you were in"
3461494,87,"Maps"
3461508,91,"Maps"
3464203,111,"Maps"
3461705,80,"Maps"
3464203,112,"Internet access"
3461510,77,"Transport/ travel options around New Zealand"
3461510,78,"Event information"
3461510,73,"Weather information"
3461705,83,"Attractions / Activities"
3461510,79,"Attractions / Activities"
3461510,72,"Access to resources to assist you to plan"
3461510,75,"Directions"
3461510,76,"General information about a different region"
3464203,113,"Accommodation in the region you were in"
3464203,114,"Event information"
3461511,96,"Information about amenities/services for the town you were in"
3461511,97,"Accommodation in the region you were in"
3464203,115,"Attractions / Activities"
3461524,97,"Compare prices / find deals"
3461510,80,"Suggested itineraries"
3461511,95,"Directions"
3461511,98,"Suggested itineraries"
3461524,99,"Accommodation in a different region"
3461526,91,"Information about amenities/services for the town you were in"
3461526,92,"Event information"
3461524,98,"Overview of NZ regions"
3461524,100,"Attractions / Activities"
3461526,87,"General information about the region you were in"
3461526,88,"Check/confirm existing travel plans"
3461510,74,"Maps"
3461526,89,"Weather information"
3461527,85,"General information about a different region"
3461723,84,"Access to resources to assist you to plan"
3461723,86,"General information about a different region"
3461526,90,"Maps"
3461527,84,"Maps"
3461526,93,"Attractions / Activities"
3461527,83,"General information about the region you were in"
3461527,86,"Attractions / Activities"
3461723,83,"General information about the region you were in"
3461543,102,"Information about amenities/services for the town you were in"
3461543,103,"Accommodation in the region you were in"
3461723,87,"Accommodation in a different region"
3464244,85,"Accommodation in a different region"
3461723,85,"Maps"
3461543,100,"Maps"
3464246,78,"Information about amenities/services for the town you were in"
3464246,79,"Transport/ travel options around New Zealand"
3464278,80,"Information about amenities/services for the town you were in"
3464244,83,"Maps"
3464246,76,"Maps"
3461543,101,"Overview of NZ regions"
3461723,88,"Attractions / Activities"
3464244,86,"Attractions / Activities"
3464246,80,"Attractions / Activities"
3464278,78,"General information about the region you were in"
3464244,84,"Directions"
3464246,77,"Directions"
3461741,95,"Event information"
3461625,90,"Accommodation in the region you were in"
3461741,94,"Maps"
3461625,88,"Maps"
3461741,96,"Attractions / Activities"
3464278,79,"Directions"
3461741,93,"Access to resources to assist you to plan"
3461741,97,"Suggested itineraries"
3461625,91,"Accommodation in a different region"
3464287,186,"Weather information"
3464287,187,"Maps"
3464287,188,"Internet access"
3464287,183,"General information about the region you were in"
3464287,184,"Check/confirm existing travel plans"
3461625,89,"Directions"
3464287,185,"Access to resources to assist you to plan"
3464287,192,"Accommodation in the region you were in"
3464287,193,"Transport/ travel options around New Zealand"
3464287,194,"Flights within New Zealand"
3461643,90,"Information about amenities/services for the town you were in"
3461643,91,"Accommodation in a different region"
3464287,189,"Compare prices / find deals"
3464287,191,"Overview of NZ regions"
3464287,195,"Attractions / Activities"
3461643,87,"General information about the region you were in"
3461643,89,"Overview of NZ regions"
3464287,190,"Directions"
3461643,88,"Access to resources to assist you to plan"
3461643,92,"Transport/ travel options around New Zealand"
3461643,93,"Event information"
3464312,108,"Weather information"
3464312,109,"Maps"
3464312,110,"Internet access"
3461643,94,"Suggested itineraries"
3464312,111,"Directions"
3464312,112,"General information about a different region"
3464312,113,"Information about amenities/services for the town you were in"
3464312,114,"Event information"
3464319,105,"Maps"
3461691,87,"Weather information"
3464312,107,"General information about the region you were in"
3464312,115,"Attractions / Activities"
3464319,104,"General information about the region you were in"
3464312,116,"Suggested itineraries"
3464319,106,"Suggested itineraries"
3461691,90,"Attractions / Activities"
3461692,90,"General information about the region you were in"
3464339,98,"General information about the region you were in"
3461691,88,"Maps"
3461691,89,"Internet access"
3461692,91,"Access to resources to assist you to plan"
3461692,92,"Maps"
3464339,100,"Maps"
3464371,120,"Information about amenities/services for the town you were in"
3464339,99,"Check/confirm existing travel plans"
3464339,102,"Attractions / Activities"
3464371,116,"General information about the region you were in"
3461727,87,"General information about the region you were in"
3461692,93,"Directions"
3464339,101,"Directions"
3464371,118,"Directions"
3464371,119,"General information about a different region"
3461727,89,"Accommodation in the region you were in"
3461727,90,"Transport/ travel options around New Zealand"
3461728,84,"Accommodation in a different region"
3461728,85,"Transport/ travel options around New Zealand"
3461728,86,"Event information"
3464371,117,"Maps"
3461728,83,"Weather information"
3464373,97,"Check/confirm existing travel plans"
3461742,85,"Information about amenities/services for the town you were in"
3461742,86,"Transport/ travel options around New Zealand"
3461727,88,"Directions"
3461727,91,"Suggested itineraries"
3461728,87,"Suggested itineraries"
3461742,87,"Suggested itineraries"
3464373,98,"Access to resources to assist you to plan"
3461742,82,"General information about the region you were in"
3461742,83,"Weather information"
3461742,84,"Internet access"
3464373,99,"Weather information"
3461821,84,"See ratings by other travellers"
3461821,85,"Information about amenities/services for the town you were in"
3461821,86,"Accommodation in the region you were in"
3461816,88,"General information about the region you were in"
3461816,89,"Compare prices / find deals"
3461816,90,"Overview of NZ regions"
3461816,91,"Attractions / Activities"
3464373,100,"Maps"
3461821,82,"Maps"
3461821,87,"Event information"
3461823,82,"Accommodation in the region you were in"
3461821,88,"Attractions / Activities"
3461823,79,"General information about the region you were in"
3461823,83,"Attractions / Activities"
3461821,83,"Directions"
3461821,89,"Suggested itineraries"
3461823,81,"General information about a different region"
3461823,84,"Suggested itineraries"
3461743,92,"Information about amenities/services for the town you were in"
3464373,103,"Information about amenities/services for the town you were in"
3464373,104,"Transport/ travel options around New Zealand"
3461823,80,"Maps"
3461743,90,"Weather information"
3461743,91,"Maps"
3461825,78,"Maps"
3464373,102,"Compare prices / find deals"
3464373,105,"Attractions / Activities"
3464373,101,"Information about Maori culture / cultural activities"
3465016,101,"Information about amenities/services for the town you were in"
3465021,94,"Accommodation in a different region"
3465023,106,"Accommodation in the region you were in"
3465016,99,"Access to resources to assist you to plan"
3465016,100,"General information about a different region"
3465023,105,"General information about a different region"
3465016,98,"Check/confirm existing travel plans"
3465023,107,"Attractions / Activities"
3465030,109,"General information about the region you were in"
3461832,88,"Directions"
3461841,89,"Information about Maori culture / cultural activities"
3461832,86,"Weather information"
3461832,85,"General information about the region you were in"
3461832,89,"Attractions / Activities"
3461841,88,"General information about the region you were in"
3461841,90,"Overview of NZ regions"
3461846,91,"Check/confirm existing travel plans"
3461846,93,"Accommodation in a different region"
3461848,95,"Information about amenities/services for the town you were in"
3461848,97,"Something else"
3461832,87,"Maps"
3461848,92,"Weather information"
3461846,94,"Attractions / Activities"
3461848,93,"Overview of NZ regions"
3461848,96,"Attractions / Activities"
3461846,92,"Information about Maori culture / cultural activities"
3461848,94,"General information about a different region"
3465030,111,"Information about amenities/services for the town you were in"
3461871,84,"Maps"
3465030,110,"Maps"
3461864,92,"Attractions / Activities"
3461871,83,"General information about the region you were in"
3461825,80,"Information about amenities/services for the town you were in"
3461825,81,"Accommodation in the region you were in"
3461882,80,"Information about amenities/services for the town you were in"
3461882,81,"Event information"
3461871,85,"Attractions / Activities"
3465030,112,"Attractions / Activities"
3461825,79,"Compare prices / find deals"
3461825,82,"Attractions / Activities"
3461864,90,"Access to resources to assist you to plan"
3461882,79,"Maps"
3461826,75,"Maps"
3461827,83,"General information about the region you were in"
3461827,84,"Compare prices / find deals"
3461827,85,"Overview of NZ regions"
3461827,86,"Attractions / Activities"
3461826,76,"Information about amenities/services for the town you were in"
3461864,91,"Directions"
3461825,83,"Suggested itineraries"
3461882,78,"Access to resources to assist you to plan"
3461827,87,"Suggested itineraries"
3461843,80,"Access to resources to assist you to plan"
3465046,94,"Maps"
3465105,102,"Maps"
3461843,81,"Directions"
3465046,95,"Suggested itineraries"
3465105,103,"Information about Maori culture / cultural activities"
3461882,83,"Suggested itineraries"
3465048,103,"Transport/ travel options around New Zealand"
3465048,102,"General information about the region you were in"
3465105,101,"General information about the region you were in"
3465105,104,"Attractions / Activities"
3465116,79,"General information about the region you were in"
3461843,82,"Overview of NZ regions"
3461889,87,"Maps"
3461891,89,"Weather information"
3461882,82,"Attractions / Activities"
3461889,85,"General information about the region you were in"
3461889,88,"Attractions / Activities"
3461891,87,"General information about the region you were in"
3461891,88,"Check/confirm existing travel plans"
3461843,83,"Attractions / Activities"
3461889,86,"Access to resources to assist you to plan"
3465125,97,"Information about amenities/services for the town you were in"
3465125,98,"Transport/ travel options around New Zealand"
3465116,80,"Maps"
3465125,95,"Maps"
3461844,87,"Transport/ travel options around New Zealand"
3461844,88,"Flights within New Zealand"
3465139,138,"Information about amenities/services for the town you were in"
3465125,94,"Access to resources to assist you to plan"
3465125,96,"Directions"
3461844,89,"Suggested itineraries"
3465139,135,"Information about Maori culture / cultural activities"
3465139,137,"General information about a different region"
3461844,85,"General information about the region you were in"
3465139,132,"General information about the region you were in"
3461844,86,"Maps"
3465139,134,"Maps"
3461891,91,"Information about amenities/services for the town you were in"
3465139,133,"Check/confirm existing travel plans"
3465139,136,"Overview of NZ regions"
3461898,74,"General information about the region you were in"
3462189,98,"Compare prices / find deals"
3462189,99,"Attractions / Activities"
3461891,90,"General information about a different region"
3461898,76,"General information about a different region"
3462189,97,"Information about Maori culture / cultural activities"
3461898,75,"Maps"
3462189,96,"Maps"
3461858,82,"Accommodation in a different region"
3461858,76,"General information about the region you were in"
3461858,77,"Check/confirm existing travel plans"
3461858,80,"Overview of NZ regions"
3462189,100,"Suggested itineraries"
3461858,79,"Information about Maori culture / cultural activities"
3461858,81,"General information about a different region"
3461858,78,"Maps"
3461859,77,"Internet access"
3462273,109,"Information about amenities/services for the town you were in"
3462273,110,"Event information"
3461859,80,"Accommodation in the region you were in"
3462273,102,"General information about the region you were in"
3462273,103,"Check/confirm existing travel plans"
3462273,108,"Overview of NZ regions"
3461859,78,"Compare prices / find deals"
3461859,81,"Attractions / Activities"
3462273,104,"Access to resources to assist you to plan"
3462273,105,"Weather information"
3461860,101,"Accommodation in a different region"
3461860,102,"Transport/ travel options around New Zealand"
3462273,107,"Information about Maori culture / cultural activities"
3461859,79,"Directions"
3461859,82,"Suggested itineraries"
3461860,98,"General information about the region you were in"
3461875,80,"General information about the region you were in"
3461875,81,"Compare prices / find deals"
3461875,82,"Attractions / Activities"
3462273,106,"Maps"
3461860,99,"Weather information"
3461860,100,"Maps"
3461878,82,"Maps"
3461878,83,"Information about amenities/services for the town you were in"
3461878,84,"Event information"
3461895,83,"Information about amenities/services for the town you were in"
3461895,80,"General information about the region you were in"
3461895,82,"Overview of NZ regions"
3461928,79,"Accommodation in a different region"
3461893,78,"Weather information"
3461895,81,"Maps"
3461928,78,"Weather information"
3462273,111,"Attractions / Activities"
3461928,80,"Attractions / Activities"
3462300,78,"Attractions / Activities"
3462307,77,"General information about the region you were in"
3462307,79,"Attractions / Activities"
3465139,139,"Accommodation in the region you were in"
3465139,140,"Accommodation in a different region"
3462226,87,"Maps"
3465198,98,"Maps"
3465139,142,"Attractions / Activities"
3465198,97,"General information about the region you were in"
3465198,100,"Overview of NZ regions"
3465139,141,"Transport/ travel options around New Zealand"
3465198,101,"Event information"
3462226,89,"Transport/ travel options around New Zealand"
3465214,117,"Transport/ travel options around New Zealand"
3465214,114,"Weather information"
3465214,115,"Maps"
3465225,76,"Maps"
3461893,79,"Directions"
3462273,112,"Suggested itineraries"
3462307,78,"Directions"
3465139,143,"Suggested itineraries"
3465198,99,"Directions"
3465198,102,"Suggested itineraries"
3462226,88,"General information about a different region"
3465214,113,"Check/confirm existing travel plans"
3465214,116,"Overview of NZ regions"
3465214,118,"Attractions / Activities"
3462278,73,"General information about the region you were in"
3462278,77,"Attractions / Activities"
3465255,93,"General information about the region you were in"
3465255,94,"Check/confirm existing travel plans"
3465248,85,"Maps"
3462278,74,"Maps"
3465225,77,"General information about a different region"
3462278,75,"Information about Maori culture / cultural activities"
3462278,76,"General information about a different region"
3462279,104,"Information about amenities/services for the town you were in"
3462279,105,"Accommodation in the region you were in"
3462279,106,"Transport/ travel options around New Zealand"
3462279,107,"Event information"
3462279,100,"General information about the region you were in"
3462279,108,"Attractions / Activities"
3462310,95,"Transport/ travel options around New Zealand"
3462310,96,"Event information"
3462279,101,"Weather information"
3462279,102,"Maps"
3462310,92,"Maps"
3462310,93,"Internet access"
3462310,91,"General information about the region you were in"
3462279,103,"Directions"
3462279,109,"Suggested itineraries"
3462296,104,"Directions"
3462310,94,"Directions"
3465255,98,"Information about amenities/services for the town you were in"
3465255,99,"Transport/ travel options around New Zealand"
3462312,95,"Maps"
3465255,95,"Maps"
3465255,97,"Overview of NZ regions"
3465264,91,"Transport/ travel options around New Zealand"
3465255,96,"Directions"
3465255,100,"Suggested itineraries"
3465264,88,"Access to resources to assist you to plan"
3465264,90,"Directions"
3465280,102,"Access to resources to assist you to plan"
3465280,104,"Information about Maori culture / cultural activities"
3465264,89,"Maps"
3465280,103,"Maps"
3465280,106,"Information about amenities/services for the town you were in"
3465280,105,"Directions"
3462323,92,"Access to resources to assist you to plan"
3465900,95,"Overview of NZ regions"
3462323,91,"General information about the region you were in"
3462323,94,"Compare prices / find deals"
3465900,93,"Maps"
3465900,94,"Internet access"
3462323,98,"Information about amenities/services for the town you were in"
3462323,99,"Accommodation in a different region"
3462323,100,"Event information"
3462323,95,"Directions"
3462323,97,"General information about a different region"
3462323,102,"Suggested itineraries"
3462323,96,"Overview of NZ regions"
3462323,101,"Attractions / Activities"
3462339,91,"General information about the region you were in"
3462339,93,"Information about amenities/services for the town you were in"
3462341,101,"Directions"
3462341,103,"Suggested itineraries"
3462350,117,"Information about Maori culture / cultural activities"
3462339,94,"Attractions / Activities"
3462341,102,"Attractions / Activities"
3462323,93,"Maps"
3462339,92,"Maps"
3462341,100,"Maps"
3462350,116,"Maps"
3462350,119,"Information about amenities/services for the town you were in"
3462312,98,"Flights within New Zealand"
3462312,99,"Event information"
3462350,118,"Directions"
3462350,121,"Suggested itineraries"
3462350,120,"Attractions / Activities"
3462312,97,"Compare prices / find deals"
3462312,100,"Attractions / Activities"
3462423,106,"Information about amenities/services for the town you were in"
3462423,107,"Accommodation in the region you were in"
3462312,96,"Internet access"
3462423,100,"Weather information"
3462423,102,"Information about Maori culture / cultural activities"
3462423,103,"Directions"
3462423,105,"General information about a different region"
3462423,99,"General information about the region you were in"
3462423,104,"Overview of NZ regions"
3462423,108,"Accommodation in a different region"
3462423,109,"Transport/ travel options around New Zealand"
3462363,119,"Directions"
3462363,121,"General information about a different region"
3462423,110,"Attractions / Activities"
3462363,116,"General information about the region you were in"
3462363,120,"Overview of NZ regions"
3462423,101,"Maps"
3462363,117,"Weather information"
3462425,76,"Attractions / Activities"
3462463,83,"Compare prices / find deals"
3462425,75,"Access to resources to assist you to plan"
3462377,84,"Access to resources to assist you to plan"
3462463,84,"Directions"
3462463,85,"General information about a different region"
3462363,118,"Maps"
3462377,85,"Maps"
3462463,81,"Maps"
3462463,82,"Internet access"
3462463,86,"Accommodation in a different region"
3462463,87,"Transport/ travel options around New Zealand"
3462463,88,"Event information"
3462532,114,"Information about amenities/services for the town you were in"
3462532,115,"Transport/ travel options around New Zealand"
3462463,89,"Attractions / Activities"
3462463,90,"Suggested itineraries"
3462532,112,"Maps"
3462532,113,"Internet access"
3462478,93,"Accommodation in a different region"
3462478,94,"Transport/ travel options around New Zealand"
3462557,77,"Information about Maori culture / cultural activities"
3462478,89,"Check/confirm existing travel plans"
3462478,92,"Compare prices / find deals"
3462557,75,"General information about the region you were in"
3462478,90,"Maps"
3462478,91,"Internet access"
3462557,79,"Event information"
3462559,97,"Access to resources to assist you to plan"
3462557,78,"Overview of NZ regions"
3462559,95,"General information about the region you were in"
3462559,96,"Check/confirm existing travel plans"
3462559,100,"Compare prices / find deals"
3462557,76,"Maps"
3462559,98,"Maps"
3462559,99,"Internet access"
3462545,111,"Accommodation in the region you were in"
3462559,102,"Information about amenities/services for the town you were in"
3462559,103,"Accommodation in the region you were in"
3462559,101,"Directions"
3462560,66,"Directions"
3462559,105,"Suggested itineraries"
3462560,67,"Attractions / Activities"
3462559,104,"Attractions / Activities"
3462560,65,"Maps"
3462566,91,"Weather information"
3462566,95,"Accommodation in the region you were in"
3462566,96,"Event information"
3462580,94,"Overview of NZ regions"
3462566,94,"Directions"
3462566,97,"Suggested itineraries"
3462580,92,"Access to resources to assist you to plan"
3462566,92,"Maps"
3462566,93,"Internet access"
3462580,93,"Weather information"
3462580,96,"Attractions / Activities"
3462594,99,"General information about the region you were in"
3462580,95,"General information about a different region"
3462580,97,"Suggested itineraries"
3462594,100,"Access to resources to assist you to plan"
3462594,103,"Information about Maori culture / cultural activities"
3462594,101,"Weather information"
3462591,101,"Information about amenities/services for the town you were in"
3462594,106,"Attractions / Activities"
3462591,97,"General information about the region you were in"
3462591,100,"Overview of NZ regions"
3462609,78,"Check/confirm existing travel plans"
3462594,104,"Directions"
3462594,105,"General information about a different region"
3462591,98,"Access to resources to assist you to plan"
3462609,79,"Access to resources to assist you to plan"
3462594,102,"Maps"
3462591,99,"Maps"
3462609,84,"Information about amenities/services for the town you were in"
3462609,85,"Transport/ travel options around New Zealand"
3462609,83,"General information about a different region"
3462609,82,"Compare prices / find deals"
3462628,75,"General information about the region you were in"
3462628,77,"Attractions / Activities"
3462609,80,"Maps"
3462609,81,"Internet access"
3462618,109,"Check/confirm existing travel plans"
3462618,112,"Compare prices / find deals"
3462618,113,"Attractions / Activities"
3462618,110,"Access to resources to assist you to plan"
3462644,74,"Suggested itineraries"
3462618,114,"Suggested itineraries"
3462628,76,"Maps"
3462644,73,"Maps"
3462618,111,"Maps"
3462646,81,"Weather information"
3462646,83,"Transport/ travel options around New Zealand"
3462646,84,"Event information"
3465900,97,"Event information"
3462647,111,"Something else"
3462646,85,"Attractions / Activities"
3462623,100,"General information about the region you were in"
3462662,83,"General information about the region you were in"
3465900,96,"General information about a different region"
3465916,85,"Information about amenities/services for the town you were in"
3462646,82,"Maps"
3462662,86,"Maps"
3462662,84,"Check/confirm existing travel plans"
3462662,87,"Compare prices / find deals"
3462662,88,"Attractions / Activities"
3465916,83,"General information about the region you were in"
3465916,86,"Attractions / Activities"
3462662,85,"Access to resources to assist you to plan"
3462678,113,"Accommodation in the region you were in"
3462678,114,"Event information"
3465918,72,"Something else"
3462680,94,"General information about the region you were in"
3462680,95,"Check/confirm existing travel plans"
3465916,84,"Maps"
3462678,110,"Maps"
3462678,111,"Information about Maori culture / cultural activities"
3462678,112,"Directions"
3462680,96,"Access to resources to assist you to plan"
3462680,101,"Transport/ travel options around New Zealand"
3462680,100,"Directions"
3462680,103,"Suggested itineraries"
3462680,99,"Compare prices / find deals"
3462680,102,"Attractions / Activities"
3465934,87,"Check/confirm existing travel plans"
3462680,97,"Weather information"
3462680,98,"Maps"
3465934,88,"Internet access"
3465934,89,"Accommodation in the region you were in"
3462668,99,"Information about amenities/services for the town you were in"
3462668,100,"Accommodation in the region you were in"
3462668,101,"Accommodation in a different region"
3462668,95,"Access to resources to assist you to plan"
3462668,98,"General information about a different region"
3462668,94,"Check/confirm existing travel plans"
3462668,97,"Overview of NZ regions"
3462668,102,"Transport/ travel options around New Zealand"
3462728,75,"Overview of NZ regions"
3465943,96,"General information about the region you were in"
3462668,96,"Maps"
3465943,98,"Maps"
3462668,103,"Suggested itineraries"
3462728,74,"Information about Maori culture / cultural activities"
3462728,76,"General information about a different region"
3465943,97,"Access to resources to assist you to plan"
3465943,99,"General information about a different region"
3462794,117,"Transport/ travel options around New Zealand"
3462794,116,"Overview of NZ regions"
3462796,86,"General information about the region you were in"
3462796,87,"Check/confirm existing travel plans"
3462794,113,"Maps"
3462794,114,"Internet access"
3462796,88,"Weather information"
3462794,115,"Information about Maori culture / cultural activities"
3462862,118,"Accommodation in the region you were in"
3462862,119,"Accommodation in a different region"
3462813,76,"General information about the region you were in"
3462813,77,"Check/confirm existing travel plans"
3462796,89,"Maps"
3462796,90,"Internet access"
3462796,91,"General information about a different region"
3462796,92,"Suggested itineraries"
3462862,117,"General information about a different region"
3462863,106,"Transport/ travel options around New Zealand"
3462863,107,"Flights within New Zealand"
3462863,108,"Event information"
3462863,105,"Compare prices / find deals"
3462863,109,"Attractions / Activities"
3462862,116,"Maps"
3462863,104,"Maps"
3462862,120,"Suggested itineraries"
3462863,110,"Suggested itineraries"
3462864,115,"Accommodation in the region you were in"
3462864,116,"Event information"
3462913,87,"Accommodation in a different region"
3462913,88,"Transport/ travel options around New Zealand"
3462864,113,"Compare prices / find deals"
3462864,114,"Overview of NZ regions"
3462864,112,"Maps"
3462913,85,"Weather information"
3462978,105,"Accommodation in the region you were in"
3462864,117,"Attractions / Activities"
3462913,89,"Attractions / Activities"
3462930,69,"Check/confirm existing travel plans"
3462978,103,"Overview of NZ regions"
3462913,86,"Maps"
3462930,70,"Maps"
3462978,101,"Weather information"
3462930,71,"Directions"
3462978,104,"General information about a different region"
3462981,118,"Accommodation in the region you were in"
3462981,119,"Accommodation in a different region"
3462978,106,"Attractions / Activities"
3462981,112,"General information about the region you were in"
3462981,115,"Compare prices / find deals"
3462978,102,"Maps"
3462981,113,"Weather information"
3462981,116,"Directions"
3462981,117,"General information about a different region"
3462981,120,"Transport/ travel options around New Zealand"
3463065,104,"Information about amenities/services for the town you were in"
3463065,105,"Event information"
3462981,121,"Attractions / Activities"
3463065,101,"General information about the region you were in"
3463082,94,"General information about the region you were in"
3463065,102,"Access to resources to assist you to plan"
3463065,103,"Directions"
3463065,106,"Suggested itineraries"
3463147,68,"Transport/ travel options around New Zealand"
3465943,100,"Accommodation in the region you were in"
3465943,101,"Accommodation in a different region"
3465943,102,"Transport/ travel options around New Zealand"
3465943,103,"Event information"
3462981,114,"Maps"
3463082,95,"Weather information"
3463082,97,"Directions"
3463082,98,"Suggested itineraries"
3463180,95,"Information about amenities/services for the town you were in"
3463180,96,"Event information"
3463180,92,"Compare prices / find deals"
3463180,94,"Overview of NZ regions"
3463082,96,"Maps"
3463180,89,"Maps"
3463180,90,"Internet access"
3463180,88,"Access to resources to assist you to plan"
3463180,91,"Information about Maori culture / cultural activities"
3465952,105,"Maps"
3465957,91,"Maps"
3465957,92,"Internet access"
3463180,97,"Attractions / Activities"
3465952,103,"General information about the region you were in"
3465957,93,"Attractions / Activities"
3462673,100,"General information about the region you were in"
3463180,93,"Directions"
3465952,104,"Access to resources to assist you to plan"
3465977,106,"Event information"
3463263,93,"Something else"
3465977,101,"General information about the region you were in"
3465977,107,"Attractions / Activities"
3465952,106,"Directions"
3465977,103,"Information about Maori culture / cultural activities"
3465977,104,"Directions"
3465977,105,"General information about a different region"
3465977,108,"Suggested itineraries"
3463280,99,"Attractions / Activities"
3466043,108,"General information about the region you were in"
3466043,114,"Attractions / Activities"
3465977,102,"Maps"
3463280,98,"Maps"
3466043,109,"Weather information"
3466043,110,"Maps"
3466043,111,"Internet access"
3466043,112,"Directions"
3466043,113,"General information about a different region"
3463330,98,"Event information"
3463330,95,"Directions"
3463330,97,"General information about a different region"
3463330,99,"Suggested itineraries"
3463330,93,"General information about the region you were in"
3463330,96,"Overview of NZ regions"
3463330,94,"Maps"
3463332,82,"Weather information"
3462723,96,"Information about Maori culture / cultural activities"
3462673,102,"Compare prices / find deals"
3462673,103,"Attractions / Activities"
3462723,94,"General information about the region you were in"
3462723,97,"Attractions / Activities"
3462741,119,"General information about the region you were in"
3463332,83,"Maps"
3462673,101,"Maps"
3462723,95,"Maps"
3462741,120,"Maps"
3462741,121,"Information about amenities/services for the town you were in"
3462743,86,"General information about the region you were in"
3462743,87,"Attractions / Activities"
3463348,108,"General information about the region you were in"
3463348,109,"Check/confirm existing travel plans"
3463332,84,"Suggested itineraries"
3462741,122,"Suggested itineraries"
3463348,110,"Weather information"
3463348,112,"Information about amenities/services for the town you were in"
3462750,108,"Transport/ travel options around New Zealand"
3466061,84,"Accommodation in the region you were in"
3466061,85,"Accommodation in a different region"
3462750,109,"Attractions / Activities"
3466061,86,"Attractions / Activities"
3463348,111,"Maps"
3462750,107,"Maps"
3466061,83,"General information about a different region"
3463381,105,"Information about amenities/services for the town you were in"
3463381,106,"Attractions / Activities"
3466100,97,"General information about the region you were in"
3463381,104,"Directions"
3463381,107,"Suggested itineraries"
3466061,82,"Maps"
3463381,103,"Maps"
3466077,85,"Maps"
3466100,98,"Weather information"
3466102,94,"Information about amenities/services for the town you were in"
3463431,92,"Event information"
3466102,93,"General information about a different region"
3463431,90,"Access to resources to assist you to plan"
3466100,100,"Attractions / Activities"
3466102,91,"General information about the region you were in"
3463431,89,"General information about the region you were in"
3466100,99,"Maps"
3466102,92,"Maps"
3462752,122,"Transport/ travel options around New Zealand"
3462752,123,"Attractions / Activities"
3463431,91,"Maps"
3462752,119,"Weather information"
3462752,120,"Maps"
3462752,121,"Internet access"
3463432,98,"Weather information"
3462752,118,"Access to resources to assist you to plan"
3462752,124,"Suggested itineraries"
3463432,103,"Accommodation in the region you were in"
3463432,104,"Accommodation in a different region"
3463432,105,"Event information"
3463432,102,"General information about a different region"
3463432,101,"Compare prices / find deals"
3463432,106,"Attractions / Activities"
3466118,102,"Attractions / Activities"
3463432,99,"Maps"
3463432,100,"Internet access"
3462766,124,"Information about amenities/services for the town you were in"
3462766,125,"Transport/ travel options around New Zealand"
3462766,126,"Event information"
3466118,101,"Maps"
3462766,122,"Maps"
3462766,123,"Directions"
3462775,78,"General information about a different region"
3462766,121,"Check/confirm existing travel plans"
3462766,127,"Attractions / Activities"
3466127,95,"General information about the region you were in"
3466127,97,"Information about amenities/services for the town you were in"
3463480,83,"Information about amenities/services for the town you were in"
3463480,84,"Event information"
3463465,86,"Directions"
3463482,107,"Access to resources to assist you to plan"
3463465,85,"General information about the region you were in"
3463465,87,"Attractions / Activities"
3466127,96,"Check/confirm existing travel plans"
3463482,108,"Weather information"
3463482,112,"Event information"
3463482,111,"Compare prices / find deals"
3463482,113,"Attractions / Activities"
3463498,87,"Attractions / Activities"
3463515,73,"General information about the region you were in"
3463482,110,"Information about Maori culture / cultural activities"
3463482,109,"Maps"
3462784,102,"Maps"
3462791,75,"Maps"
3463515,74,"Maps"
3462818,109,"Weather information"
3463515,75,"General information about a different region"
3462818,111,"Directions"
3462818,113,"General information about a different region"
3462818,108,"General information about the region you were in"
3463515,76,"Attractions / Activities"
3462818,112,"Overview of NZ regions"
3463530,93,"Accommodation in a different region"
3463530,94,"Transport/ travel options around New Zealand"
3462818,110,"Maps"
3463530,90,"Weather information"
3463530,92,"General information about a different region"
3463530,88,"General information about the region you were in"
3463530,89,"Check/confirm existing travel plans"
3463530,91,"Compare prices / find deals"
3466318,120,"Check/confirm existing travel plans"
3463530,95,"Attractions / Activities"
3466318,127,"Information about amenities/services for the town you were in"
3466318,128,"Accommodation in the region you were in"
3466318,129,"Accommodation in a different region"
3466318,122,"Weather information"
3466318,123,"Maps"
3466318,124,"Internet access"
3466318,126,"Overview of NZ regions"
3466318,121,"Access to resources to assist you to plan"
