"SurveyResponseID","AnswerNumber","iSiteUsage"
3185526,101,"Transport/ travel options around New Zealand"
3185543,84,"Information about amenities/services for the town you were in"
3185543,85,"Transport/ travel options around New Zealand"
3185543,86,"Event information"
3185526,96,"General information about the region you were in"
3185526,102,"Attractions / Activities"
3185543,82,"General information about the region you were in"
3185543,87,"Attractions / Activities"
3185512,80,"Maps"
3185526,98,"Maps"
3185543,83,"Maps"
3185561,99,"Maps"
3185512,81,"Directions"
3185512,82,"General information about a different region"
3185526,97,"Access to resources to assist you to plan"
3185526,99,"Information about Maori culture / cultural activities"
3185526,100,"Directions"
3185561,100,"Directions"
3185561,102,"Information about amenities/services for the town you were in"
3185561,103,"Attractions / Activities"
3185579,82,"Check/confirm existing travel plans"
3185580,83,"General information about the region you were in"
3185580,84,"Check/confirm existing travel plans"
3185580,88,"Information about amenities/services for the town you were in"
3185594,84,"Accommodation in the region you were in"
3184634,88,"Accommodation in a different region"
3185561,101,"General information about a different region"
3185580,85,"Maps"
3184634,87,"Maps"
3185594,82,"Check/confirm existing travel plans"
3185594,85,"Attractions / Activities"
3184634,89,"Attractions / Activities"
3185661,84,"General information about the region you were in"
3185661,85,"Check/confirm existing travel plans"
3185661,87,"Overview of NZ regions"
3185580,86,"Information about Maori culture / cultural activities"
3185580,87,"Directions"
3185580,89,"Suggested itineraries"
3185594,83,"Access to resources to assist you to plan"
3185677,82,"General information about the region you were in"
3185677,85,"Accommodation in the region you were in"
3185661,86,"Directions"
3185677,83,"Information about Maori culture / cultural activities"
3185677,84,"Directions"
3185677,86,"Suggested itineraries"
3185680,106,"Information about Maori culture / cultural activities"
3185680,104,"General information about the region you were in"
3185680,107,"Compare prices / find deals"
3185680,109,"Overview of NZ regions"
3185680,111,"Information about amenities/services for the town you were in"
3185796,91,"Information about amenities/services for the town you were in"
3185680,108,"Directions"
3185680,110,"General information about a different region"
3185795,89,"Suggested itineraries"
3185680,105,"Maps"
3185796,89,"Maps"
3185827,92,"Maps"
3185846,83,"Maps"
3185877,95,"Weather information"
3185877,96,"Maps"
3185877,97,"Internet access"
3185795,88,"Attractions / Activities"
3185796,87,"General information about the region you were in"
3185796,88,"Check/confirm existing travel plans"
3185827,94,"Overview of NZ regions"
3185846,81,"General information about the region you were in"
3185846,85,"Attractions / Activities"
