"SurveyResponseID","AnswerNumber","HobbitExpType"
3187580,157,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187580,158,"Visited Hobbiton"
3187580,159,"Visited Hobbit Film site(s)"
3187589,160,"Group tour specifically organised for Hobbit fans"
3187589,161,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187589,162,"Visited Hobbit Film site(s)"
3187589,163,"Something else"
3187602,155,"Group tour specifically organised for Hobbit fans"
3187602,156,"Visited Hobbit Film site(s)"
3187602,157,"Something else"
3187624,150,"Group tour specifically organised for Hobbit fans"
3187624,151,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187624,152,"Visited Hobbiton"
3187624,153,"Visited Hobbit Film site(s)"
3187624,154,"Something else"
3187644,162,"Group tour specifically organised for Hobbit fans"
3187644,163,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187644,164,"Visited Hobbit Film site(s)"
3187644,165,"Something else"
3187654,172,"Group tour specifically organised for Hobbit fans"
3187654,173,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187654,174,"Visited Hobbit Film site(s)"
3187673,158,"Group tour specifically organised for Hobbit fans"
3187673,159,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187673,160,"Visited Hobbiton"
3187673,161,"Something else"
3187676,154,"Group tour specifically organised for Hobbit fans"
3187676,155,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187676,156,"Visited Hobbit Film site(s)"
3187676,157,"Something else"
3187706,185,"Visited Hobbiton"
3187706,186,"Visited Hobbit Film site(s)"
3187717,174,"Visited Hobbiton"
3187752,147,"Visited Hobbiton"
3187773,170,"Visited Hobbiton"
3187773,171,"Visited Hobbit Film site(s)"
3187778,171,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187778,172,"Visited Hobbiton"
3187778,173,"Visited Hobbit Film site(s)"
3187787,176,"Visited Hobbit Film site(s)"
3187802,162,"Visited Hobbiton"
3187807,173,"Visited Hobbiton"
3187808,174,"Visited Hobbiton"
3187809,216,"Group tour specifically organised for Hobbit fans"
3187809,217,"Organised local sightseeing tour which included Hobbit Film site(s)"
3187809,218,"Visited Hobbiton"
3187811,216,"Visited Hobbiton"
3187813,159,"Visited Hobbiton"
3187825,149,"Visited Hobbiton"
3187841,131,"Organised local sightseeing tour which included Hobbit Film site(s)"
