"SurveyResponseID","AnswerNumber","AirlineUsed","AirlineRating"
3184901,131,"Virgin/Virgin Blue/Pacific Blue","7"
3184958,147,"Qantas","7"
3184952,139,"Singapore Airlines","Excellent  10"
3184877,124,"JetStar","7"
3184889,141,"Air New Zealand","7"
3184966,144,"Air New Zealand","5"
3184884,116,"Not sure",NA
3184861,136,"Qantas","9"
3184918,132,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3184873,137,"Not sure",NA
3184928,143,"Virgin/Virgin Blue/Pacific Blue","5"
3184916,148,"JetStar","6"
3184930,129,"JetStar","7"
3184938,128,"Air New Zealand","7"
3184944,162,"JetStar","5"
3184954,144,"JetStar","4"
3185007,118,"Emirates","9"
3184964,123,"Emirates","9"
3184962,140,"Air New Zealand","9"
3184956,138,"Air New Zealand","9"
3184905,145,"Virgin/Virgin Blue/Pacific Blue","5"
3184974,125,"Virgin/Virgin Blue/Pacific Blue","6"
3184909,133,"Singapore Airlines","Excellent  10"
3184982,155,"Singapore Airlines","9"
3184849,143,"Qantas","6"
3184853,146,"Qantas","8"
3184920,130,"Not sure",NA
3185003,130,"Not sure",NA
3184877,125,"Virgin/Virgin Blue/Pacific Blue","6"
3185019,133,"Not sure",NA
3184928,141,"Qantas","8"
3185059,157,"Singapore Airlines","Excellent  10"
3185043,156,"Air New Zealand","4"
3185051,138,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3184930,128,"Singapore Airlines","Excellent  10"
3185035,127,"Not sure",NA
3184909,134,"Emirates","9"
3184934,140,"Not sure",NA
3184941,147,"Emirates","9"
3184837,152,"Emirates","9"
3184964,124,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3184958,148,"Emirates","Excellent  10"
3184901,130,"Air New Zealand","9"
3184970,120,"Air New Zealand","5"
3185039,123,"Air New Zealand","7"
3184909,135,"Virgin/Virgin Blue/Pacific Blue","8"
3184960,138,"Another airline",NA
3184976,135,"Virgin/Virgin Blue/Pacific Blue","5"
3184976,134,"Air New Zealand","8"
3184982,156,"China Southern","7"
3185063,148,"Air New Zealand","Excellent  10"
3184980,124,"Another airline",NA
3185051,137,"Air New Zealand","8"
3184933,126,"Not sure",NA
3185067,131,"Qantas","Excellent  10"
3184937,130,"Air New Zealand","8"
3185059,159,"Virgin/Virgin Blue/Pacific Blue","9"
3184996,128,"Not sure",NA
3184977,139,"Qantas","8"
3185005,161,"Singapore Airlines","9"
3185000,150,"Not sure",NA
3185059,158,"JetStar","6"
3184998,144,"Air New Zealand","Excellent  10"
3185067,130,"Air New Zealand","7"
3184964,122,"JetStar","8"
3184945,148,"Air New Zealand","5"
3185004,152,"Air New Zealand","8"
3184965,146,"China Southern","2"
3184937,131,"Qantas","9"
3185075,133,"JetStar","4"
3185024,133,"Not sure",NA
3185036,111,"Not sure",NA
3185044,137,"Air New Zealand","6"
3184998,147,"Virgin/Virgin Blue/Pacific Blue","5"
3184989,148,"Not sure",NA
3184990,137,"Not sure",NA
3185087,156,"Virgin/Virgin Blue/Pacific Blue","Excellent  10"
3184913,132,"Emirates","Excellent  10"
3185047,123,"JetStar","9"
3184998,146,"Emirates","Excellent  10"
3185059,156,"Air New Zealand","8"
3184986,160,"Air New Zealand","Excellent  10"
3184965,145,"Singapore Airlines","7"
3185075,134,"Virgin/Virgin Blue/Pacific Blue","6"
3185063,149,"Another airline",NA
3184945,149,"JetStar","8"
3185005,160,"Air New Zealand","9"
3185083,129,"Not sure",NA
3185052,151,"Qantas","9"
3184998,145,"JetStar","7"
3184981,136,"JetStar","7"
3185091,134,"Air New Zealand","6"
3185056,141,"Air New Zealand","9"
3185107,133,"Air New Zealand","9"
3185029,145,"Qantas","Excellent  10"
3185030,130,"Virgin/Virgin Blue/Pacific Blue","5"
3185017,128,"Emirates","8"
3185087,155,"JetStar","7"
3185002,147,"Air New Zealand","6"
3185060,134,"Emirates","9"
3185006,143,"Air New Zealand","9"
3185013,159,"Air New Zealand","8"
3185056,143,"Emirates","7"
3185030,129,"Emirates","8"
3185010,132,"Air New Zealand","8"
3184959,150,"Lufthansa","4"
3185107,135,"Cathay Pacific","7"
3185025,145,"Air New Zealand","6"
3185060,132,"Singapore Airlines","5"
3185030,128,"Singapore Airlines","9"
3185091,135,"Emirates","8"
3185021,131,"Qantas","5"
3185045,136,"Singapore Airlines","7"
3185119,138,"Singapore Airlines","7"
3185010,133,"Emirates","Excellent  10"
3185119,141,"Emirates","8"
3185060,133,"Qantas","9"
3185131,129,"Qantas","7"
3185139,129,"Emirates","Excellent  10"
3185107,134,"JetStar","8"
3185042,153,"Air New Zealand","7"
