"SurveyResponseID","AnswerNumber","TechnologyType"
3184683,136,"Blackberry, iPhone or another smart phone"
3184683,137,"Wi-fi internet locations"
3184682,114,"Your own laptop or iPad/tablet"
3184677,116,"Blackberry, iPhone or another smart phone"
3184677,117,"Internet cafes"
3184677,118,"Wi-fi internet locations"
3184677,119,"Your own laptop or iPad/tablet"
3184675,94,"Blackberry, iPhone or another smart phone"
3184675,95,"Wi-fi internet locations"
3184675,96,"Your own laptop or iPad/tablet"
3184673,137,"Your own mobile phone set to global roaming"
3184673,138,"Wi-fi internet locations"
3184671,127,"Your own laptop or iPad/tablet"
3184668,128,"Wi-fi internet locations"
3184667,119,"Your own mobile phone set to global roaming"
3184667,120,"Your own laptop or iPad/tablet"
3184666,122,"Your own mobile phone with a sim card purchased in New Zealand"
3184666,123,"Wi-fi internet locations"
3184666,124,"Your own laptop or iPad/tablet"
3184665,118,"Your own mobile phone set to global roaming"
3184665,119,"Wi-fi internet locations"
3184664,113,"Wi-fi internet locations"
3184664,114,"Your own laptop or iPad/tablet"
3184663,131,"Your own mobile phone set to global roaming"
3184663,132,"Your own laptop or iPad/tablet"
3184662,118,"Your own mobile phone with a sim card purchased in New Zealand"
3184662,119,"A mobile phone purchased in New Zealand"
3184662,120,"Other types of technology"
3184661,100,"Your own mobile phone with a sim card purchased in New Zealand"
3184661,101,"Wi-fi internet locations"
3184661,102,"Your own laptop or iPad/tablet"
3184660,129,"Your own mobile phone with a sim card purchased in New Zealand"
3184653,131,"Your own laptop or iPad/tablet"
3184652,129,"Your own mobile phone set to global roaming"
3184651,126,"Wi-fi internet locations"
3184651,127,"Your own laptop or iPad/tablet"
3184649,131,"Your own mobile phone with a sim card purchased in New Zealand"
3184649,132,"Your own mobile phone set to global roaming"
3184649,133,"Wi-fi internet locations"
3184648,122,"Internet cafes"
3184648,123,"Your own laptop or iPad/tablet"
3184647,123,"Your own mobile phone with a sim card purchased in New Zealand"
3184647,124,"Your own mobile phone set to global roaming"
3184647,125,"Your own laptop or iPad/tablet"
3184645,116,"Blackberry, iPhone or another smart phone"
3184645,117,"Wi-fi internet locations"
3184645,118,"Your own laptop or iPad/tablet"
3184642,109,"Wi-fi internet locations"
3184642,110,"Your own laptop or iPad/tablet"
3184640,114,"Your own mobile phone set to global roaming"
3184639,118,"Your own mobile phone with a sim card purchased in New Zealand"
3184639,119,"Blackberry, iPhone or another smart phone"
3184639,120,"Wi-fi internet locations"
3184639,121,"Gaming console with Wi-fi capacity"
3184638,123,"Wi-fi internet locations"
3184637,114,"Wi-fi internet locations"
3184636,125,"Your own mobile phone set to global roaming"
3184636,126,"Blackberry, iPhone or another smart phone"
3184634,124,"Your own laptop or iPad/tablet"
3184632,110,"Blackberry, iPhone or another smart phone"
3184632,111,"Other types of technology"
3184629,153,"Internet cafes"
3184629,154,"Wi-fi internet locations"
3184628,128,"Your own mobile phone set to global roaming"
3184628,129,"A mobile phone purchased in New Zealand"
3184628,130,"Blackberry, iPhone or another smart phone"
3184628,131,"Wi-fi internet locations"
3184628,132,"Your own laptop or iPad/tablet"
3184625,117,"Your own laptop or iPad/tablet"
3184624,112,"None of these"
3184623,123,"Your own mobile phone set to global roaming"
3184623,124,"Blackberry, iPhone or another smart phone"
3184623,125,"Your own laptop or iPad/tablet"
3184622,131,"Your own mobile phone with a sim card purchased in New Zealand"
3184622,132,"Blackberry, iPhone or another smart phone"
3184620,128,"Blackberry, iPhone or another smart phone"
3184620,129,"Wi-fi internet locations"
3184619,136,"Your own mobile phone set to global roaming"
3184618,131,"Blackberry, iPhone or another smart phone"
3184618,132,"Internet cafes"
3184618,133,"Wi-fi internet locations"
3184616,121,"Blackberry, iPhone or another smart phone"
3184616,122,"Wi-fi internet locations"
3184615,131,"Wi-fi internet locations"
3184614,104,"Your own mobile phone with a sim card purchased in New Zealand"
3184614,105,"Blackberry, iPhone or another smart phone"
3184614,106,"Your own laptop or iPad/tablet"
3184611,117,"Your own mobile phone set to global roaming"
3184611,118,"Wi-fi internet locations"
3184610,113,"Wi-fi internet locations"
3184610,114,"Your own laptop or iPad/tablet"
3184606,133,"Your own mobile phone set to global roaming"
3184858,116,"Internet cafes"
3184858,117,"Wi-fi internet locations"
3184858,118,"Your own laptop or iPad/tablet"
3184861,122,"Blackberry, iPhone or another smart phone"
3184861,123,"Wi-fi internet locations"
3184863,139,"Wi-fi internet locations"
3184863,140,"Your own laptop or iPad/tablet"
3184865,130,"Your own laptop or iPad/tablet"
3184866,114,"Your own mobile phone set to global roaming"
3184866,115,"Blackberry, iPhone or another smart phone"
3184866,116,"Wi-fi internet locations"
3184866,117,"Other types of technology"
3184868,131,"Blackberry, iPhone or another smart phone"
3184868,132,"Wi-fi internet locations"
3184873,119,"Your own mobile phone set to global roaming"
3184873,120,"Internet cafes"
3184873,121,"Wi-fi internet locations"
3184874,118,"Blackberry, iPhone or another smart phone"
3184875,133,"Wi-fi internet locations"
3184877,108,"Your own mobile phone set to global roaming"
3184877,109,"Blackberry, iPhone or another smart phone"
3184877,110,"Internet cafes"
3184878,126,"Blackberry, iPhone or another smart phone"
3184878,127,"Wi-fi internet locations"
3184878,128,"Your own laptop or iPad/tablet"
3184880,120,"Your own laptop or iPad/tablet"
3184882,132,"Your own mobile phone set to global roaming"
3184882,133,"Wi-fi internet locations"
3184883,103,"Wi-fi internet locations"
3184883,104,"Other types of technology"
3184884,101,"Your own mobile phone set to global roaming"
3184884,102,"Wi-fi internet locations"
3184885,129,"Your own mobile phone with a sim card purchased in New Zealand"
3184885,130,"Your own mobile phone set to global roaming"
