"SurveyResponseID","AnswerNumber","TechnologyType"
3338281,98,"Smart phone"
3338281,99,"Wi-fi internet locations"
3338281,100,"Your own laptop or iPad/tablet"
3338292,112,"Wi-fi internet locations"
3338294,120,"Smart phone"
3338294,121,"Wi-fi internet locations"
3338294,122,"Your own laptop or iPad/tablet"
3338299,116,"Wi-fi internet locations"
3338299,117,"Your own laptop or iPad/tablet"
3338300,128,"Wi-fi internet locations"
3338300,129,"Your own laptop or iPad/tablet"
3338305,109,"Wi-fi internet locations"
3338307,120,"Your own laptop or iPad/tablet"
3338309,132,"Smart phone"
3338309,133,"Internet cafes"
3338309,134,"Wi-fi internet locations"
3338250,101,"Your own laptop or iPad/tablet"
3338252,130,"Wi-fi internet locations"
3338253,98,"Smart phone"
3338253,99,"Wi-fi internet locations"
3338253,100,"Your own laptop or iPad/tablet"
3338258,112,"Smart phone"
3338263,103,"Smart phone"
3338263,104,"Wi-fi internet locations"
3338263,105,"Your own laptop or iPad/tablet"
3338074,128,"Smart phone"
3338075,146,"Smart phone"
3338075,147,"Wi-fi internet locations"
3338075,148,"Your own laptop or iPad/tablet"
3338075,149,"Gaming console with Wi-fi capacity"
3338265,120,"Smart phone"
3338265,121,"Other types of technology"
3338267,125,"Smart phone"
3338267,126,"Your own laptop or iPad/tablet"
3338268,123,"None of these"
3338271,123,"Smart phone"
3338271,124,"Wi-fi internet locations"
3338272,98,"None of these"
3338273,134,"Your own laptop or iPad/tablet"
3338274,115,"Internet cafes"
3338274,116,"Wi-fi internet locations"
3338359,127,"Smart phone"
3338360,116,"Smart phone"
3338360,117,"Wi-fi internet locations"
3338360,118,"Your own laptop or iPad/tablet"
3338361,96,"Wi-fi internet locations"
3338361,97,"Your own laptop or iPad/tablet"
3338361,98,"Gaming console with Wi-fi capacity"
3338363,131,"Smart phone"
3338363,132,"Your own laptop or iPad/tablet"
3338283,99,"Your own laptop or iPad/tablet"
3338284,141,"Smart phone"
3338284,142,"Wi-fi internet locations"
3338286,114,"Smart phone"
3338286,115,"Wi-fi internet locations"
3338289,135,"Wi-fi internet locations"
3338290,122,"Wi-fi internet locations"
3338314,138,"Smart phone"
3338314,139,"Wi-fi internet locations"
3338316,133,"Smart phone"
3338316,134,"Wi-fi internet locations"
3338316,135,"Your own laptop or iPad/tablet"
3338319,116,"Wi-fi internet locations"
3338319,117,"Your own laptop or iPad/tablet"
3338323,141,"Smart phone"
3338328,130,"Wi-fi internet locations"
3338328,131,"Your own laptop or iPad/tablet"
3338329,126,"Smart phone"
3338329,127,"Wi-fi internet locations"
3338331,106,"Smart phone"
3338331,107,"Your own laptop or iPad/tablet"
3338332,123,"Internet cafes"
3338332,124,"Wi-fi internet locations"
3338332,125,"Your own laptop or iPad/tablet"
3338364,122,"Smart phone"
3338364,123,"Wi-fi internet locations"
3338364,124,"Your own laptop or iPad/tablet"
3338365,118,"Smart phone"
3338365,119,"Wi-fi internet locations"
3338365,120,"Your own laptop or iPad/tablet"
3338366,112,"Smart phone"
3338366,113,"Wi-fi internet locations"
3338366,114,"Your own laptop or iPad/tablet"
3338367,104,"Smart phone"
3338367,105,"Wi-fi internet locations"
3338367,106,"Your own laptop or iPad/tablet"
3338368,104,"Smart phone"
3338368,105,"Your own laptop or iPad/tablet"
3338338,108,"Wi-fi internet locations"
3338340,127,"Smart phone"
3338340,128,"Wi-fi internet locations"
3338340,129,"Your own laptop or iPad/tablet"
3338371,127,"Smart phone"
3338371,128,"Wi-fi internet locations"
3338371,129,"Your own laptop or iPad/tablet"
3338380,123,"Smart phone"
3338341,138,"Wi-fi internet locations"
3338341,139,"Your own laptop or iPad/tablet"
3338342,123,"None of these"
3338350,100,"None of these"
3338351,127,"Smart phone"
3338352,147,"Smart phone"
3338352,148,"Wi-fi internet locations"
3338352,149,"Your own laptop or iPad/tablet"
3338375,184,"Internet cafes"
3338375,185,"Wi-fi internet locations"
3338375,186,"Your own laptop or iPad/tablet"
3338385,119,"Internet cafes"
3338385,120,"Wi-fi internet locations"
3338389,116,"Smart phone"
3338389,117,"Wi-fi internet locations"
3338389,118,"Your own laptop or iPad/tablet"
3338395,118,"Internet cafes"
3338395,119,"Wi-fi internet locations"
3338397,92,"Smart phone"
3338397,93,"Wi-fi internet locations"
3338397,94,"Your own laptop or iPad/tablet"
3338399,121,"Smart phone"
3338399,122,"Wi-fi internet locations"
3338399,123,"Your own laptop or iPad/tablet"
3338402,92,"Internet cafes"
3338402,93,"Wi-fi internet locations"
3338402,94,"Your own laptop or iPad/tablet"
3338411,118,"Smart phone"
3338411,119,"Wi-fi internet locations"
3338411,120,"Your own laptop or iPad/tablet"
3338412,106,"Smart phone"
3338412,107,"Wi-fi internet locations"
3338412,108,"Your own laptop or iPad/tablet"
3338417,135,"Smart phone"
3338417,136,"Wi-fi internet locations"
3338417,137,"Your own laptop or iPad/tablet"
3338418,118,"Smart phone"
3338418,119,"Your own laptop or iPad/tablet"
3338419,98,"Smart phone"
3338419,99,"Wi-fi internet locations"
3338419,100,"Your own laptop or iPad/tablet"
3338422,119,"Smart phone"
3338422,120,"Internet cafes"
3338422,121,"Wi-fi internet locations"
3338422,122,"Your own laptop or iPad/tablet"
3338424,110,"Your own laptop or iPad/tablet"
3338428,97,"Smart phone"
3338428,98,"Your own laptop or iPad/tablet"
3338429,112,"Wi-fi internet locations"
3338429,113,"Your own laptop or iPad/tablet"
3338431,109,"Smart phone"
3338431,110,"Wi-fi internet locations"
3338441,134,"Smart phone"
3338441,135,"Internet cafes"
3338442,128,"Smart phone"
3338442,129,"Your own laptop or iPad/tablet"
3338444,138,"Smart phone"
3338444,139,"Internet cafes"
3338444,140,"Your own laptop or iPad/tablet"
3338445,105,"Smart phone"
3338445,106,"Wi-fi internet locations"
3338445,107,"Your own laptop or iPad/tablet"
3338446,110,"Wi-fi internet locations"
3338446,111,"Your own laptop or iPad/tablet"
3338447,118,"Smart phone"
3338448,128,"Smart phone"
3338448,129,"Your own laptop or iPad/tablet"
3338449,123,"Your own laptop or iPad/tablet"
3338450,131,"Internet cafes"
3338450,132,"Your own laptop or iPad/tablet"
3338452,106,"Smart phone"
3338452,107,"Your own laptop or iPad/tablet"
3338453,127,"Wi-fi internet locations"
3338457,135,"Wi-fi internet locations"
3338458,127,"Internet cafes"
3338458,128,"Wi-fi internet locations"
3338458,129,"Your own laptop or iPad/tablet"
3338461,135,"Smart phone"
3338461,136,"Internet cafes"
3338461,137,"Wi-fi internet locations"
3338464,134,"Wi-fi internet locations"
3338468,139,"Wi-fi internet locations"
3338469,126,"None of these"
3338470,134,"None of these"
3338471,133,"Wi-fi internet locations"
3338471,134,"Your own laptop or iPad/tablet"
3338473,127,"Smart phone"
3338473,128,"Internet cafes"
3338473,129,"Your own laptop or iPad/tablet"
3338479,114,"Wi-fi internet locations"
3338481,115,"Smart phone"
3338481,116,"Internet cafes"
3338481,117,"Wi-fi internet locations"
3338482,127,"Smart phone"
3338482,128,"Wi-fi internet locations"
3338483,107,"Smart phone"
3338486,112,"Smart phone"
3338486,113,"Wi-fi internet locations"
3338490,103,"Smart phone"
3338490,104,"Wi-fi internet locations"
3338490,105,"Your own laptop or iPad/tablet"
3338495,154,"Wi-fi internet locations"
3338495,155,"Your own laptop or iPad/tablet"
3338496,125,"Smart phone"
3338496,126,"Wi-fi internet locations"
3338496,127,"Your own laptop or iPad/tablet"
3338498,133,"Smart phone"
3338501,95,"Smart phone"
3338501,96,"Your own laptop or iPad/tablet"
3338503,128,"Smart phone"
3338507,117,"Wi-fi internet locations"
3338507,118,"Your own laptop or iPad/tablet"
3338564,211,"Smart phone"
3338564,212,"Internet cafes"
3338564,213,"Wi-fi internet locations"
3338564,214,"Your own laptop or iPad/tablet"
3338508,100,"Smart phone"
3338508,101,"Wi-fi internet locations"
3338508,102,"Your own laptop or iPad/tablet"
3338510,140,"Wi-fi internet locations"
3338510,141,"Your own laptop or iPad/tablet"
3338513,110,"Smart phone"
3338515,116,"Smart phone"
3338515,117,"Wi-fi internet locations"
3338516,141,"None of these"
3338517,117,"Smart phone"
3338517,118,"Wi-fi internet locations"
3338517,119,"Your own laptop or iPad/tablet"
3338518,123,"Smart phone"
3338518,124,"Wi-fi internet locations"
3338519,139,"Wi-fi internet locations"
3338519,140,"Your own laptop or iPad/tablet"
3338521,91,"Smart phone"
3338521,92,"Wi-fi internet locations"
3338521,93,"Your own laptop or iPad/tablet"
3338521,94,"Other types of technology"
3338523,96,"Smart phone"
3338523,97,"Wi-fi internet locations"
3338523,98,"Your own laptop or iPad/tablet"
3338525,130,"Internet cafes"
3338525,131,"Wi-fi internet locations"
3338527,122,"Smart phone"
3338527,123,"Internet cafes"
3338529,115,"Smart phone"
3338530,108,"Smart phone"
3338530,109,"Internet cafes"
3338530,110,"Wi-fi internet locations"
3338531,96,"Your own laptop or iPad/tablet"
3338535,101,"Wi-fi internet locations"
3338541,140,"Smart phone"
3338541,141,"Wi-fi internet locations"
3338541,142,"Your own laptop or iPad/tablet"
3338356,114,"Wi-fi internet locations"
3338544,141,"Smart phone"
3338345,115,"Smart phone"
3338547,131,"Smart phone"
3338547,132,"Wi-fi internet locations"
3338547,133,"Your own laptop or iPad/tablet"
3338548,104,"Smart phone"
3338548,105,"Wi-fi internet locations"
3338550,128,"Wi-fi internet locations"
3338550,129,"Your own laptop or iPad/tablet"
3338551,120,"Smart phone"
3338551,121,"Your own laptop or iPad/tablet"
3338555,136,"Smart phone"
3338555,137,"Wi-fi internet locations"
3338595,169,"Wi-fi internet locations"
3338595,170,"Your own laptop or iPad/tablet"
3338598,131,"Smart phone"
3338598,132,"Your own laptop or iPad/tablet"
3338605,138,"Smart phone"
3338605,139,"Wi-fi internet locations"
3338607,156,"Smart phone"
3338607,157,"Wi-fi internet locations"
3338607,158,"Your own laptop or iPad/tablet"
3338608,102,"Smart phone"
3338608,103,"Wi-fi internet locations"
3338608,104,"Your own laptop or iPad/tablet"
3338611,116,"Smart phone"
3338611,117,"Your own laptop or iPad/tablet"
3338565,168,"Smart phone"
3338565,169,"Wi-fi internet locations"
3338565,170,"Your own laptop or iPad/tablet"
3338579,132,"Smart phone"
3338587,201,"Smart phone"
3338587,202,"Internet cafes"
3338587,203,"Wi-fi internet locations"
3338601,121,"Internet cafes"
3338601,122,"Other types of technology"
3338602,121,"Your own laptop or iPad/tablet"
3338604,123,"Smart phone"
3338604,124,"Internet cafes"
3338604,125,"Wi-fi internet locations"
3338568,138,"Internet cafes"
3338568,139,"Wi-fi internet locations"
3338842,123,"Smart phone"
3338842,124,"Wi-fi internet locations"
3338842,125,"Your own laptop or iPad/tablet"
3338618,103,"Smart phone"
3338618,104,"Your own laptop or iPad/tablet"
3338621,103,"Smart phone"
3338621,104,"Wi-fi internet locations"
3338621,105,"Your own laptop or iPad/tablet"
3338623,120,"Smart phone"
3338623,121,"Wi-fi internet locations"
3338625,138,"Smart phone"
3338625,139,"Wi-fi internet locations"
3338625,140,"Your own laptop or iPad/tablet"
3338625,141,"Other types of technology"
3338626,120,"Wi-fi internet locations"
3338627,109,"Smart phone"
3338627,110,"Internet cafes"
3338627,111,"Wi-fi internet locations"
3338627,112,"Your own laptop or iPad/tablet"
3338628,103,"Smart phone"
3338628,104,"Wi-fi internet locations"
3338628,105,"Your own laptop or iPad/tablet"
3338818,163,"Smart phone"
3338818,164,"Wi-fi internet locations"
3338820,155,"Smart phone"
3338820,156,"Wi-fi internet locations"
3338820,157,"Your own laptop or iPad/tablet"
3338820,158,"Gaming console with Wi-fi capacity"
3338821,129,"Smart phone"
3338821,130,"Wi-fi internet locations"
3338821,131,"Your own laptop or iPad/tablet"
3338822,134,"Smart phone"
3338822,135,"Your own laptop or iPad/tablet"
3338827,175,"Smart phone"
3338827,176,"Your own laptop or iPad/tablet"
3338828,123,"Wi-fi internet locations"
3338828,124,"Your own laptop or iPad/tablet"
3338633,119,"Smart phone"
3338833,104,"Internet cafes"
3338640,123,"Your own laptop or iPad/tablet"
3338643,125,"Your own laptop or iPad/tablet"
3338644,135,"Your own laptop or iPad/tablet"
3338647,126,"Wi-fi internet locations"
3338647,127,"Your own laptop or iPad/tablet"
3338647,128,"Other types of technology"
3338651,138,"None of these"
3338654,112,"Smart phone"
3338657,112,"Your own laptop or iPad/tablet"
3338660,106,"Internet cafes"
3338660,107,"Your own laptop or iPad/tablet"
3338662,109,"Smart phone"
3338662,110,"Wi-fi internet locations"
3338664,115,"Smart phone"
3338664,116,"Wi-fi internet locations"
3338665,120,"Your own laptop or iPad/tablet"
3338668,137,"Your own laptop or iPad/tablet"
3338669,133,"Wi-fi internet locations"
3338671,124,"Wi-fi internet locations"
3338671,125,"Your own laptop or iPad/tablet"
3338672,111,"Wi-fi internet locations"
3338672,112,"Your own laptop or iPad/tablet"
3338674,136,"Smart phone"
3338674,137,"Internet cafes"
3338674,138,"Wi-fi internet locations"
3338674,139,"Your own laptop or iPad/tablet"
3338675,110,"Smart phone"
3338675,111,"Wi-fi internet locations"
3338675,112,"Your own laptop or iPad/tablet"
3338676,115,"Wi-fi internet locations"
3338676,116,"Your own laptop or iPad/tablet"
3338677,119,"Wi-fi internet locations"
3338677,120,"Your own laptop or iPad/tablet"
3338679,123,"None of these"
3338681,130,"Wi-fi internet locations"
3338682,125,"None of these"
3338683,114,"Wi-fi internet locations"
3338684,121,"Smart phone"
3338685,172,"Smart phone"
3338685,173,"Internet cafes"
3338689,178,"Smart phone"
3338689,179,"Wi-fi internet locations"
3338689,180,"Your own laptop or iPad/tablet"
3338698,140,"Smart phone"
3338698,141,"Internet cafes"
3338699,125,"Smart phone"
3338699,126,"Wi-fi internet locations"
3338700,127,"Wi-fi internet locations"
3338701,138,"Wi-fi internet locations"
3338703,122,"Smart phone"
3338703,123,"Wi-fi internet locations"
3338703,124,"Your own laptop or iPad/tablet"
3338705,119,"Wi-fi internet locations"
3338705,120,"Your own laptop or iPad/tablet"
3338706,128,"Smart phone"
3338706,129,"Wi-fi internet locations"
3338708,109,"Smart phone"
3338710,157,"Smart phone"
3338712,129,"Smart phone"
3338713,124,"Your own laptop or iPad/tablet"
3338715,123,"Your own laptop or iPad/tablet"
3338718,126,"Smart phone"
3338718,127,"Internet cafes"
3338718,128,"Your own laptop or iPad/tablet"
3338720,123,"Your own laptop or iPad/tablet"
3338721,122,"Smart phone"
3338721,123,"Wi-fi internet locations"
3338721,124,"Your own laptop or iPad/tablet"
3338729,115,"Smart phone"
3338729,116,"Wi-fi internet locations"
3338729,117,"Your own laptop or iPad/tablet"
3338730,126,"Wi-fi internet locations"
3338731,112,"Smart phone"
3338731,113,"Wi-fi internet locations"
3338732,118,"Smart phone"
3338732,119,"Wi-fi internet locations"
3338732,120,"Your own laptop or iPad/tablet"
3338734,129,"Wi-fi internet locations"
3338736,113,"Smart phone"
3338736,114,"Internet cafes"
3338736,115,"Wi-fi internet locations"
3338736,116,"Your own laptop or iPad/tablet"
3338736,117,"Other types of technology"
3338737,119,"Your own laptop or iPad/tablet"
3338745,129,"Smart phone"
3338745,130,"Wi-fi internet locations"
3338747,117,"Your own laptop or iPad/tablet"
3338749,121,"Smart phone"
3338749,122,"Your own laptop or iPad/tablet"
3338750,131,"Smart phone"
3338750,132,"Your own laptop or iPad/tablet"
3338750,133,"Other types of technology"
3338751,120,"Wi-fi internet locations"
3338751,121,"Your own laptop or iPad/tablet"
3338752,141,"Wi-fi internet locations"
3338752,142,"Your own laptop or iPad/tablet"
3338753,105,"Your own laptop or iPad/tablet"
3338754,120,"Your own laptop or iPad/tablet"
3338755,122,"Smart phone"
3338755,123,"Your own laptop or iPad/tablet"
3338759,109,"Wi-fi internet locations"
3338834,192,"Internet cafes"
3338834,193,"Wi-fi internet locations"
3338834,194,"Your own laptop or iPad/tablet"
3338569,123,"Smart phone"
3338761,128,"Your own laptop or iPad/tablet"
3338763,120,"Your own laptop or iPad/tablet"
3338764,121,"None of these"
3338767,128,"Wi-fi internet locations"
3338767,129,"Your own laptop or iPad/tablet"
3338770,124,"Wi-fi internet locations"
3338770,125,"Your own laptop or iPad/tablet"
3338771,132,"Smart phone"
3338771,133,"Your own laptop or iPad/tablet"
3338776,143,"Wi-fi internet locations"
3338778,133,"Smart phone"
3338778,134,"Wi-fi internet locations"
3338778,135,"Your own laptop or iPad/tablet"
3338780,126,"Smart phone"
3338780,127,"Wi-fi internet locations"
3338788,154,"None of these"
3338793,149,"Smart phone"
3338793,150,"Wi-fi internet locations"
3338793,151,"Your own laptop or iPad/tablet"
3338794,142,"Smart phone"
3338573,162,"Smart phone"
3338573,163,"Wi-fi internet locations"
3338573,164,"Your own laptop or iPad/tablet"
3338574,106,"Smart phone"
3338574,107,"Wi-fi internet locations"
3338574,108,"Your own laptop or iPad/tablet"
3338575,139,"Smart phone"
3338575,140,"Your own laptop or iPad/tablet"
3338578,118,"Smart phone"
3338578,119,"Your own laptop or iPad/tablet"
3338578,120,"Other types of technology"
3338582,134,"Smart phone"
3338582,135,"Your own laptop or iPad/tablet"
3338583,145,"Wi-fi internet locations"
3338583,146,"Your own laptop or iPad/tablet"
3338584,148,"Smart phone"
3338584,149,"Wi-fi internet locations"
3338797,119,"Smart phone"
3338797,120,"Your own laptop or iPad/tablet"
3338798,117,"Smart phone"
3338798,118,"Wi-fi internet locations"
3338798,119,"Your own laptop or iPad/tablet"
3338586,111,"None of these"
3338590,136,"Smart phone"
3338593,177,"Smart phone"
3338593,178,"Internet cafes"
3338593,179,"Wi-fi internet locations"
3338594,143,"Smart phone"
3338594,144,"Wi-fi internet locations"
3338594,145,"Your own laptop or iPad/tablet"
3338804,124,"Wi-fi internet locations"
3338805,121,"Internet cafes"
3338805,122,"Wi-fi internet locations"
3338805,123,"Your own laptop or iPad/tablet"
3338811,129,"Smart phone"
3338811,130,"Your own laptop or iPad/tablet"
3338812,164,"Wi-fi internet locations"
3338812,165,"Your own laptop or iPad/tablet"
3338813,180,"Wi-fi internet locations"
3338813,181,"Your own laptop or iPad/tablet"
3338813,182,"Other types of technology"
3338815,133,"Your own laptop or iPad/tablet"
3338816,137,"Smart phone"
3338816,138,"Wi-fi internet locations"
3338817,174,"Smart phone"
3338817,175,"Wi-fi internet locations"
3338852,125,"Internet cafes"
3338852,126,"Wi-fi internet locations"
3338852,127,"Your own laptop or iPad/tablet"
3338853,111,"Wi-fi internet locations"
3338853,112,"Your own laptop or iPad/tablet"
3338857,119,"Wi-fi internet locations"
3338857,120,"Your own laptop or iPad/tablet"
3338860,107,"None of these"
3338864,117,"Smart phone"
3338864,118,"Your own laptop or iPad/tablet"
3338866,123,"Wi-fi internet locations"
3338868,97,"Your own laptop or iPad/tablet"
3338870,153,"Wi-fi internet locations"
3338870,154,"Your own laptop or iPad/tablet"
3338874,158,"Smart phone"
3338874,159,"Internet cafes"
3338874,160,"Wi-fi internet locations"
3338874,161,"Your own laptop or iPad/tablet"
3338877,101,"Wi-fi internet locations"
3338877,102,"Your own laptop or iPad/tablet"
3338878,125,"Smart phone"
3338878,126,"Wi-fi internet locations"
3338878,127,"Your own laptop or iPad/tablet"
3338879,103,"Smart phone"
3338879,104,"Wi-fi internet locations"
3338881,111,"Wi-fi internet locations"
3338881,112,"Your own laptop or iPad/tablet"
3338882,136,"Internet cafes"
3338882,137,"Your own laptop or iPad/tablet"
3338886,137,"Smart phone"
3338886,138,"Internet cafes"
3338886,139,"Wi-fi internet locations"
3338886,140,"Your own laptop or iPad/tablet"
3338887,133,"Smart phone"
3338887,134,"Wi-fi internet locations"
3338887,135,"Your own laptop or iPad/tablet"
3338889,152,"Smart phone"
3338889,153,"Wi-fi internet locations"
3338889,154,"Your own laptop or iPad/tablet"
3338890,120,"Smart phone"
3338890,121,"Wi-fi internet locations"
3338890,122,"Your own laptop or iPad/tablet"
3338891,94,"Your own laptop or iPad/tablet"
3338893,126,"Smart phone"
3338893,127,"Your own laptop or iPad/tablet"
3338894,199,"Smart phone"
3338894,200,"Your own laptop or iPad/tablet"
3338895,144,"Wi-fi internet locations"
3338895,145,"Your own laptop or iPad/tablet"
3338896,126,"Wi-fi internet locations"
3338899,129,"Wi-fi internet locations"
3338899,130,"Your own laptop or iPad/tablet"
3338901,127,"Smart phone"
3338902,107,"Smart phone"
3338902,108,"Your own laptop or iPad/tablet"
3338908,145,"None of these"
3338909,130,"None of these"
3338910,126,"Smart phone"
3338910,127,"Wi-fi internet locations"
3338910,128,"Your own laptop or iPad/tablet"
3338911,147,"Internet cafes"
3338911,148,"Wi-fi internet locations"
3338912,123,"Internet cafes"
3338912,124,"Wi-fi internet locations"
3338914,131,"Smart phone"
3338915,117,"Wi-fi internet locations"
3338915,118,"Your own laptop or iPad/tablet"
3338917,117,"None of these"
3338920,123,"Internet cafes"
3338920,124,"Wi-fi internet locations"
3338922,122,"Internet cafes"
3338922,123,"Wi-fi internet locations"
3338922,124,"Your own laptop or iPad/tablet"
3338925,132,"Smart phone"
3338927,129,"Smart phone"
3338927,130,"Your own laptop or iPad/tablet"
3338928,129,"Smart phone"
3338928,130,"Wi-fi internet locations"
3338929,135,"Wi-fi internet locations"
3338930,110,"Smart phone"
3338930,111,"Internet cafes"
3338930,112,"Wi-fi internet locations"
3338934,130,"Internet cafes"
3338934,131,"Wi-fi internet locations"
3338934,132,"Your own laptop or iPad/tablet"
3338936,133,"Wi-fi internet locations"
3338938,124,"Wi-fi internet locations"
3338939,126,"Smart phone"
3338939,127,"Your own laptop or iPad/tablet"
3338941,125,"Smart phone"
3338941,126,"Wi-fi internet locations"
3338947,130,"Smart phone"
3338947,131,"Wi-fi internet locations"
3338950,129,"Wi-fi internet locations"
3338950,130,"Your own laptop or iPad/tablet"
3338961,138,"Smart phone"
3338961,139,"Wi-fi internet locations"
3338961,140,"Your own laptop or iPad/tablet"
3338967,122,"Internet cafes"
3338967,123,"Wi-fi internet locations"
3338967,124,"Your own laptop or iPad/tablet"
3338970,125,"Internet cafes"
3338971,132,"Smart phone"
3338971,133,"Wi-fi internet locations"
3338971,134,"Your own laptop or iPad/tablet"
3338971,135,"Other types of technology"
3338973,130,"Smart phone"
3338973,131,"Wi-fi internet locations"
3338979,129,"Smart phone"
3338979,130,"Wi-fi internet locations"
3338981,133,"Wi-fi internet locations"
3338981,134,"Your own laptop or iPad/tablet"
3338982,123,"Internet cafes"
3338982,124,"Wi-fi internet locations"
3338983,120,"Smart phone"
3338983,121,"Wi-fi internet locations"
3338984,120,"Wi-fi internet locations"
3338984,121,"Your own laptop or iPad/tablet"
3338985,119,"Wi-fi internet locations"
3338985,120,"Your own laptop or iPad/tablet"
3338987,112,"None of these"
3338988,156,"Smart phone"
3338995,111,"Your own laptop or iPad/tablet"
3338998,132,"Wi-fi internet locations"
3338998,133,"Gaming console with Wi-fi capacity"
3338999,122,"Wi-fi internet locations"
3339002,117,"Wi-fi internet locations"
3339002,118,"Your own laptop or iPad/tablet"
3339008,123,"Wi-fi internet locations"
3339008,124,"Your own laptop or iPad/tablet"
3339010,112,"Smart phone"
3339010,113,"Internet cafes"
3339010,114,"Wi-fi internet locations"
3339011,136,"Wi-fi internet locations"
3338844,122,"Smart phone"
3338844,123,"Wi-fi internet locations"
3338844,124,"Your own laptop or iPad/tablet"
3339013,131,"Wi-fi internet locations"
3339013,132,"Your own laptop or iPad/tablet"
3339016,131,"None of these"
3339017,104,"Wi-fi internet locations"
3339017,105,"Your own laptop or iPad/tablet"
3339019,130,"Smart phone"
3339019,131,"Wi-fi internet locations"
3339020,137,"Wi-fi internet locations"
3339026,118,"Your own laptop or iPad/tablet"
3339027,123,"Smart phone"
3339027,124,"Wi-fi internet locations"
3339027,125,"Gaming console with Wi-fi capacity"
3339029,120,"Your own laptop or iPad/tablet"
3339030,117,"None of these"
3339032,127,"None of these"
3339036,105,"Wi-fi internet locations"
3339038,127,"Wi-fi internet locations"
3339038,128,"Gaming console with Wi-fi capacity"
3339039,117,"Internet cafes"
3339039,118,"Wi-fi internet locations"
3339040,114,"Your own laptop or iPad/tablet"
3339041,117,"Wi-fi internet locations"
3339044,132,"Internet cafes"
3339044,133,"Wi-fi internet locations"
3339044,134,"Other types of technology"
3339045,135,"Wi-fi internet locations"
3339045,136,"Your own laptop or iPad/tablet"
3339046,120,"Wi-fi internet locations"
3339046,121,"Your own laptop or iPad/tablet"
3339047,113,"Smart phone"
3339047,114,"Your own laptop or iPad/tablet"
3339048,154,"Smart phone"
3339048,155,"Wi-fi internet locations"
3339048,156,"Your own laptop or iPad/tablet"
3339049,131,"Your own laptop or iPad/tablet"
3339050,120,"None of these"
3339052,118,"Wi-fi internet locations"
3339052,119,"Your own laptop or iPad/tablet"
3338847,182,"Internet cafes"
3339122,121,"Your own laptop or iPad/tablet"
3339124,120,"Internet cafes"
3339124,121,"Wi-fi internet locations"
3339125,121,"Internet cafes"
3339125,122,"Wi-fi internet locations"
3339125,123,"Your own laptop or iPad/tablet"
3339126,126,"Your own laptop or iPad/tablet"
3339127,125,"Wi-fi internet locations"
3339127,126,"Your own laptop or iPad/tablet"
3339136,101,"Smart phone"
3339136,102,"Wi-fi internet locations"
3339136,103,"Your own laptop or iPad/tablet"
3339137,95,"Smart phone"
3339137,96,"Wi-fi internet locations"
3339141,122,"None of these"
3339142,127,"Smart phone"
3339142,128,"Your own laptop or iPad/tablet"
3339053,121,"Smart phone"
3339053,122,"Wi-fi internet locations"
3339053,123,"Your own laptop or iPad/tablet"
3339054,113,"Your own laptop or iPad/tablet"
3339056,111,"None of these"
3339058,123,"Your own laptop or iPad/tablet"
3339059,126,"Wi-fi internet locations"
3339060,133,"Wi-fi internet locations"
3339060,134,"Your own laptop or iPad/tablet"
3339061,131,"Wi-fi internet locations"
3339061,132,"Your own laptop or iPad/tablet"
3339062,125,"None of these"
3339064,128,"Wi-fi internet locations"
3339064,129,"Your own laptop or iPad/tablet"
3339065,122,"Wi-fi internet locations"
3339066,135,"Your own laptop or iPad/tablet"
3339067,129,"Wi-fi internet locations"
3339067,130,"Your own laptop or iPad/tablet"
3339069,132,"Smart phone"
3339069,133,"Internet cafes"
3339069,134,"Wi-fi internet locations"
3339069,135,"Your own laptop or iPad/tablet"
3339070,125,"Smart phone"
3339071,94,"Internet cafes"
3339071,95,"Your own laptop or iPad/tablet"
3339072,116,"Internet cafes"
3339074,126,"None of these"
3339076,114,"Internet cafes"
3339076,115,"Wi-fi internet locations"
3339080,130,"Wi-fi internet locations"
3339083,135,"Wi-fi internet locations"
3339083,136,"Your own laptop or iPad/tablet"
3339084,133,"Your own laptop or iPad/tablet"
3339086,115,"Smart phone"
3339086,116,"Wi-fi internet locations"
3339086,117,"Gaming console with Wi-fi capacity"
3339088,121,"Smart phone"
3339088,122,"Internet cafes"
3339088,123,"Other types of technology"
3339143,135,"None of these"
3339144,109,"Wi-fi internet locations"
3339146,128,"Smart phone"
3339146,129,"Internet cafes"
3339146,130,"Wi-fi internet locations"
3339146,131,"Your own laptop or iPad/tablet"
3339147,127,"Smart phone"
3339147,128,"Your own laptop or iPad/tablet"
3339152,141,"Internet cafes"
3339157,117,"None of these"
3339159,131,"Smart phone"
3339161,115,"Smart phone"
3339161,116,"Wi-fi internet locations"
3339161,117,"Your own laptop or iPad/tablet"
3339173,132,"Smart phone"
3339173,133,"Wi-fi internet locations"
3339174,128,"Wi-fi internet locations"
3339174,129,"Your own laptop or iPad/tablet"
3339178,136,"Your own laptop or iPad/tablet"
3339179,124,"Wi-fi internet locations"
3339181,119,"Your own laptop or iPad/tablet"
3339091,111,"Your own laptop or iPad/tablet"
3339093,148,"Your own laptop or iPad/tablet"
3339095,140,"Smart phone"
3339095,141,"Internet cafes"
3339095,142,"Your own laptop or iPad/tablet"
3339096,122,"Internet cafes"
3339096,123,"Wi-fi internet locations"
3339105,133,"Wi-fi internet locations"
3339105,134,"Your own laptop or iPad/tablet"
